Friends	Friends	ng1	Friends	friend	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
only	only	av-j	only	only	0
is	is	vbz	is	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
us	us	pno12	us	we	0
stand	stand	vvi	stand	stand	0
,	,	,	,	,	0
farewell	farewell	uh-n	farewell	farewell	0
.	.	.	.	.	1
From	From	p-acp	From	from	0
my	my	po11	my	my	0
Prison-house	Prison-house	n1	Prisonhouse	prison-house	0
at	at	p-acp	at	at	0
Maidston	Maidston	np1	Maidston	Maidston	0
in	in	p-acp	in	in	0
Kent	Kent	np1	Kent	Kent	0
,	,	,	,	,	0
Feb.	Feb.	np1	Feb.	Feb.	1
12	12	crd	12	12	0
:	:	:	:	:	1
