BEhold	BEhold	vvi	BEhold	behold	0
the	the	dt	the	the	0
opinions	opinions	n2	opinions	opinion	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
;	;	;	;	;	0
neither	neither	av-dx	neither	neither	0
receive	receive	vvb	receive	receive	0
nor	nor	ccx	nor	nor	0
refuse	refuse	vvi	refuse	refuse	0
without	without	p-acp	without	without	0
sufficient	sufficient	j	sufficient	sufficient	0
tryall	tryall	n1	trial	trial	0
;	;	;	;	;	0
pray	pray	vvb	pray	pray	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
reveale	reveale	vvi	reveal	reveal	0
his	his	po31	his	his	0
truth	truth	n1	truth	truth	0
to	to	p-acp	to	to	0
thee	thee	pno21	thee	thou	0
:	:	:	:	:	0
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
directed	directed	vvn	directed	direct	0
this	this	d	this	this	0
to	to	p-acp	to	to	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
will	will	vmb	will	will	0
blesse	blesse	vvi	bless	bless	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
thee	thee	pno21	thee	thou	0
;	;	;	;	;	0
so	so	av	so	so	0
as	as	c-acp	as	as	0
thou	thou	pns21	thou	thou	0
shalt	shalt	vm2	shalt	shall	0
praise	praise	vvi	praise	praise	0
and	and	cc	and	and	0
honour	honour	vvi	honour	honour	0
him	him	pno31	him	he	0
all	all	d	all	all	0
thy	thy	po21	thy	thy	0
dayes	dayes	n2	days	day	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
desire	desire	n1	desire	desire	0
of	of	pp-f	of	of	1
