PRetily	PRetily	av-j	Prettily	pretty	0
a	a	av	a	a	0
for	for	c-acp	for	for	0
∣	∣	sy	∣	∣	0
reyner	reyner	n1	reyner	reyner	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
increase	increase	n1	increase	increase	0
of	of	pp-f	of	of	0
fame	fame	n1	fame	fame	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
fauour	fauour	n1	favour	favour	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
to	to	p-acp	to	to	0
youre	youre	po22	your	your	0
lyues	lyues	ng1	lives	life	0
ende	ende	n1	end	end	0
.	.	.	.	.	1
