SALOMON	SALOMON	np1	SALOMON	Salomon	0
place	place	n1	place	place	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
fittest	fittest	js	fittest	fit	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
day	day	n1	day	day	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
hath	hath	vhz	hath	have	0
bin	bin	vbn	been	be	0
prooued	prooued	vvn	proved	prove	0
,	,	,	,	,	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
morning	morning	n1	morning	morning	0
;	;	;	;	;	0
where	where	c-crq	where	where	0
∣	∣	sy	∣	∣	0
in	in	p-acp	in	in	0
appeares	appeares	vvz	appears	appear	0
your	your	po22	your	your	0
godly	godly	j	godly	godly	0
wisdome	wisdome	n1	wisdom	wisdom	0
.	.	.	.	.	1
The	The	dt	The	the	0
other	other	j-jn	other	other	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
repayring	repayring	vvg	repairing	repair	0
to	to	pc-acp	to	to	0
heare	heare	vvi	hear	hear	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Lecture	Lecture	n1	Lecture	lecture	0
;	;	;	;	;	0
wherin	wherin	c-crq	wherein	wherein	0
appeares	appeares	vvz	appears	appear	0
your	your	po22	your	your	0
zeale	zeale	n1	zeal	zeal	0
and	and	cc	and	and	0
deuotion	deuotion	n1	devotion	devotion	0
.	.	.	.	.	1
Many	Many	av-d	Many	many	0
Cōgregations	Cōgregations	n2	Congregations	congregation	0
haue	haue	vhb	have	have	0
done	done	vdn	done	do	0
religiously	religiously	av-j	religiously	religious	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
kinde	kinde	n1	kind	kind	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
you	you	pn22	you	you	0
surmount	surmount	vvb	surmount	surmount	0
them	them	pno32	them	they	0
all	all	d	all	all	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
howsoe	howsoe	av	howsoe	howsoe	0
∣	∣	sy	∣	∣	0
uer	uer	p-acp	ver	for	0
the	the	dt	the	the	0
word	word	n1	word	word	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
preached	preached	vvn	preached	preach	0
in	in	p-acp	in	in	0
season	season	n1	season	season	0
,	,	,	,	,	0
and	and	cc	and	and	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
season	season	n1	season	season	0
,	,	,	,	,	0
(	(	(	(	(	0
and	and	cc	and	and	0
no	no	dx	no	no	0
time	time	n1	time	time	0
or	or	cc	or	or	0
season	season	n1	season	season	0
is	is	vbz	is	be	0
vnfit	vnfit	j	unfit	unfit	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
hea	hea	zz	hea	hea	0
∣	∣	sy	∣	∣	0
ring	ring	n1	ring	ring	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
)	)	)	)	)	0
yet	yet	av	yet	yet	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
commended	commended	vvn	commended	commend	0
aboue	aboue	p-acp	above	above	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
make	make	vvb	make	make	0
choyce	choyce	n1	choice	choice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
fittest	fittest	js	fittest	fit	0
time	time	n1	time	time	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
purpose	purpose	n1	purpose	purpose	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
bee	bee	vbi	be	be	0
some	some	d	some	some	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
dare	dare	vvb	dare	dare	0
deride	deride	vvi	deride	deride	0
and	and	cc	and	and	0
slan	slan	fw-ge	slan	slan	0
∣	∣	sy	∣	∣	0
der	der	fw-mi	der	der	0
this	this	d	this	this	0
morning	morning	n1	morning	morning	0
exercise	exercise	vvi	exercise	exercise	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
this	this	d	this	this	0
ought	ought	vmd	ought	ought	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
derogate	derogate	vvi	derogate	derogate	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
worthines	worthines	n1	worthiness	worthiness	0
&	&	cc	&	and	0
excellency	excellency	n1	excellency	excellency	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
neuer	neuer	av-x	never	never	0
heard	heard	vvd	herd	hear	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
action	action	n1	actium	action	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
it	it	pn31	it	it	0
neuer	neuer	av-x	never	never	0
so	so	av	so	so	0
holy	holy	j	holy	holy	0
and	and	cc	and	and	0
vertuous	vertuous	j	virtuous	virtuous	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
it	it	pn31	it	it	0
alwayes	alwayes	av	always	always	0
had	had	vhd	had	have	0
aduersaries	aduersaries	n2	adversaries	adversary	0
to	to	p-acp	to	to	0
im	im	pno31	im	he	0
∣	∣	sy	∣	∣	0
peach	peach	n1	peach	peach	0
it	it	pn31	it	it	0
.	.	.	.	.	1
And	And	cc	And	and	0
this	this	d	this	this	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
sure	sure	j	sure	sure	0
argu	argu	n1	argu	argu	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
vnto	vnto	p-acp	unto	unto	0
me	me	pno11	me	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
seruice	seruice	n1	service	service	0
acceptable	acceptable	j	acceptable	acceptable	0
vnto	vnto	p-acp	unto	unto	0
God	God	np1	God	God	0
,	,	,	,	,	0
aboue	aboue	p-acp	above	above	0
other	other	n-jn	other	other	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
more	more	dc	more	more	0
depraued	depraued	j-vvn	depraved	deprave	0
&	&	cc	&	and	0
slandered	slandered	vvn	slandered	slander	0
than	than	cs	than	than	0
any	any	d	any	any	0
other	other	n-jn	other	other	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
diuine	diuine	j-jn	divine	divine	0
that	that	cst	that	that	0
any	any	d	any	any	0
action	action	n1	actium	action	0
is	is	vbz	is	be	0
,	,	,	,	,	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
enuy	enuy	n1	envy	envy	0
hath	hath	vhz	hath	have	0
the	the	dt	the	the	0
deuil	deuil	n1	devil	devil	0
at	at	p-acp	at	at	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Let	Let	vvb	Let	let	0
none	none	pix	none	none	0
ther	ther	a-acp	there	there	0
∣	∣	sy	∣	∣	0
fore	fore	n1	before	fore	0
be	be	vbi	be	be	0
discouraged	discouraged	vvn	discouraged	discourage	0
,	,	,	,	,	0
or	or	cc	or	or	0
take	take	vvb	take	take	0
offēce	offēce	n1	offence	offence	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
Lecture	Lecture	n1	Lecture	lecture	0
,	,	,	,	,	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
heare	heare	vvb	hear	hear	0
it	it	pn31	it	it	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
ny	ny	av	nigh	nigh	0
way	way	n1	way	way	0
euil	euil	j-jn	evil	evil	0
spoken	spoken	vvn	spoken	speak	0
of	of	pp-f	of	of	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
let	let	vvb	let	let	0
this	this	d	this	this	0
be	be	vbi	be	be	0
my	my	po11	my	my	0
exhortation	exhortation	n1	exhortation	exhortation	0
both	both	av-d	both	both	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
that	that	d	that	that	0
mayntayne	mayntayne	vvi	maintain	maintain	0
it	it	pn31	it	it	0
,	,	,	,	,	0
&	&	cc	&	and	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
that	that	d	that	that	0
repayre	repayre	n1	repair	repair	0
to	to	pc-acp	to	to	0
heare	heare	vvi	hear	hear	0
it	it	pn31	it	it	0
▪	▪	▪	▪	▪	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
weary	weary	j	weary	weary	0
of	of	pp-f	of	of	0
well	well	av	well	well	0
doing	doing	vdg	doing	do	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
so	so	av	so	so	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
will	will	n1	will	will	0
of	of	pp-f	of	of	0
God,1	God,1	np1	God,1	God,1	0
.	.	.	.	.	1
Pet.	Pet.	np1	Pet.	Pet.	0
2.15	2.15	crd	2.15	2.15	0
.	.	.	.	.	0
that	that	cst	that	that	0
by	by	p-acp	by	by	0
continuing	continuing	vvg	continuing	continue	0
in	in	p-acp	in	in	0
well	well	av	well	well	0
doing	doing	vdg	doing	do	0
,	,	,	,	,	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
put	put	vvi	put	put	0
to	to	p-acp	to	to	0
si	si	zz	si	si	0
∣	∣	sy	∣	∣	0
lence	lence	n1	lence	lence	0
the	the	dt	the	the	0
ignorance	ignorance	n1	ignorance	ignorance	0
and	and	cc	and	and	0
malice	malice	n1	malice	malice	0
of	of	pp-f	of	of	0
foolish	foolish	j	foolish	foolish	0
men	men	n2	men	man	0
.	.	.	.	.	1
