DO	DO	vdb	DO	do	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
mercies	mercies	n2	mercies	mercy	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
the	the	dt	the	the	0
meekness	meekness	n1	meekness	meekness	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
appear	appear	n1	appear	appear	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
before	before	p-acp	before	before	0
his	his	po31	his	his	0
judgment	judgment	n1	judgement	judgement	0
seat	seat	n1	seat	seat	0
;	;	;	;	;	0
hear	hear	vvb	hear	hear	0
counsel	counsel	n1	counsel	counsel	0
and	and	cc	and	and	0
receive	receive	vvi	receive	receive	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
struction	struction	n1	struction	struction	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
wise	wise	j	wise	wise	0
at	at	p-acp	at	at	0
length	length	n1	length	length	0
,	,	,	,	,	0
Prov.	Prov.	np1	Prov.	Prov.	1
19.	19.	crd	19.	19	0
20.	20.	crd	20.	20.	1
If	If	cs	If	if	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
hear	hear	vvi	hear	hear	0
counsel	counsel	n1	counsel	counsel	0
and	and	cc	and	and	0
receive	receive	vvi	receive	receive	0
instruction	instruction	n1	instruction	instruction	0
,	,	,	,	,	0
read	read	vvb	read	read	0
Jer.	Jer.	np1	Jer.	Jer.	1
6.	6.	crd	6.	6.	0
8.	8.	crd	8.	8.	0
and	and	cc	and	and	0
consider	consider	vvi	consider	consider	0
and	and	cc	and	and	0
tremble	tremble	vvi	tremble	tremble	0
.	.	.	.	.	1
That	That	cst	That	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
prayer	prayer	n1	prayer	prayer	0
of	of	pp-f	of	of	0
one	one	pi	one	one	0
who	who	r-crq	who	who	0
wisheth	wisheth	vvz	wishes	wish	0
above	above	p-acp	above	above	0
all	all	d	all	all	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
your	your	po22	your	your	0
souls	souls	n2	souls	soul	0
may	may	vmb	may	may	0
prosper	prosper	vvi	prosper	prosper	0
,	,	,	,	,	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
adorned	adorned	vvn	adorned	adorn	0
as	as	p-acp	as	as	0
your	your	po22	your	your	0
bodies	bodies	n2	bodies	body	0
do	do	vdb	do	do	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
.	.	.	.	.	1
