THis	THis	d	THis	this	0
,	,	,	,	,	0
that	that	cst	that	that	0
any	any	d	any	any	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
vs	vs	pno12	us	we	0
can	can	vmb	can	can	0
do	do	vdi	do	do	0
specially	specially	av-j	specially	special	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
by	by	p-acp	by	by	0
other	other	j-jn	other	other	0
folks	folks	ng2	folks	folk	0
experiēce	experiēce	n1	experience	experience	0
,	,	,	,	,	0
are	are	vbr	are	be	0
we	we	pns12	we	we	0
taught	taught	vvn	taught	teach	0
largely	largely	av-j	largely	large	0
:	:	:	:	:	0
and	and	cc	and	and	0
that	that	cst	that	that	0
,	,	,	,	,	0
that	that	cst	that	that	0
other	other	j-jn	other	other	0
folkes	folkes	n2	folks	folk	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
King	King	n1	King	king	0
,	,	,	,	,	0
their	their	po32	their	their	0
coūtrie	coūtrie	n1	country	country	0
,	,	,	,	,	0
theimselfes	theimselfes	px32	themselves	themselves	0
,	,	,	,	,	0
their	their	po32	their	their	0
friends	friends	n2	friends	friend	0
,	,	,	,	,	0
like	like	av-j	like	like	0
good	good	j	good	good	0
men	men	n2	men	man	0
do	do	vdb	do	do	0
vertu	vertu	n1	virtue	virtue	0
∣	∣	sy	∣	∣	0
ously	ously	av-j	ously	ous	0
,	,	,	,	,	0
ought	ought	pi	ought	aught	0
to	to	pc-acp	to	to	0
prouoke	prouoke	vvi	provoke	provoke	0
vs	vs	pno12	us	we	0
with	with	p-acp	with	with	0
good	good	j	good	good	0
de	de	dt	the	the	0
¦	¦	sy	¦	¦	0
uotion	uotion	n1	uotion	uotion	0
inwardly	inwardly	av-j	inwardly	inward	0
to	to	pc-acp	to	to	0
loue	loue	vvi	love	love	0
theim	theim	pno32	them	they	0
:	:	:	:	:	0
&	&	cc	&	and	0
with	with	p-acp	with	with	0
good	good	j	good	good	0
words	words	n2	words	word	0
openly	openly	av-j	openly	open	0
much	much	av-d	much	much	0
to	to	pc-acp	to	to	0
commende	commende	vvi	commend	commend	0
theim	theim	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
vertuous	vertuous	j	virtuous	virtuous	0
actions	actions	n2	actions	action	0
,	,	,	,	,	0
rightly	rightly	av-jn	rightly	right	0
to	to	pc-acp	to	to	0
folow	folow	vvi	follow	follow	0
theim	theim	pno32	them	they	0
.	.	.	.	.	1
And	And	cc	And	and	0
that	that	d	that	that	0
,	,	,	,	,	0
that	that	cst	that	that	0
other	other	j-jn	other	other	0
folkes	folkes	n2	folks	folk	0
against	against	p-acp	against	against	0
their	their	po32	their	their	0
King	King	n1	King	king	0
,	,	,	,	,	0
their	their	po32	their	their	0
countrie	countrie	n1	country	country	0
,	,	,	,	,	0
their	their	po32	their	their	0
friends	friends	n2	friends	friend	0
(	(	(	(	(	0
and	and	cc	and	and	0
so	so	av	so	so	0
against	against	p-acp	against	against	0
theim	theim	pno32	them	they	0
selfes	selfes	n2	selves	self	0
)	)	)	)	)	0
like	like	vvb	like	like	0
foolish	foolish	j	foolish	foolish	0
men	men	n2	men	man	0
do	do	vdb	do	do	0
igno	igno	fw-it	igno	igno	0
∣	∣	sy	∣	∣	0
rantly	rantly	av-j	rantly	rant	0
,	,	,	,	,	0
or	or	cc	or	or	0
like	like	av-j	like	like	0
leude	leude	j	leude	lewd	0
men	men	n2	men	man	0
do	do	vdb	do	do	0
wickedly	wickedly	av-j	wickedly	wicked	0
,	,	,	,	,	0
ought	ought	pi	ought	aught	0
to	to	pc-acp	to	to	0
moue	moue	vvi	move	move	0
vs	vs	pno12	us	we	0
first	first	ord	first	first	0
(	(	(	(	(	0
as	as	p-acp	as	as	0
our	our	po12	our	our	0
neigh	neigh	n1	neigh	neigh	0
∣	∣	sy	∣	∣	0
bours	bours	n1	bours	bours	0
)	)	)	)	)	0
Christianly	Christianly	av-jp	Christianly	christianly	0
to	to	pc-acp	to	to	0
bewaile	bewaile	vvi	bewail	bewail	0
theim	theim	pno32	them	they	0
:	:	:	:	:	0
and	and	cc	and	and	0
thē	thē	pno32	them	they	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
presidents	presidents	n2	presidents	president	0
of	of	pp-f	of	of	0
peril	peril	n1	peril	peril	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
cured	cured	vvn	cured	cure	0
through	through	p-acp	through	through	0
their	their	po32	their	their	0
awne	awne	d	awn	own	0
follies	follies	n2	follies	folly	0
and	and	cc	and	and	0
faults	faults	n2	faults	fault	0
)	)	)	)	)	0
dutifully	dutifully	av-j	dutifully	dutiful	0
and	and	cc	and	and	0
wisely	wisely	av-j	wisely	wise	0
to	to	pc-acp	to	to	0
beware	beware	vvi	beware	beware	0
by	by	p-acp	by	by	0
thm	thm	n1	thm	thm	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
by	by	p-acp	by	by	0
these	these	d	these	these	0
mens	mens	ng2	men's	man	0
experi	experi	fw-la	experi	experi	0
∣	∣	sy	∣	∣	0
ence	ence	av	ence	ence	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
like	like	av-j	like	like	0
the	the	dt	the	the	0
burnt	burnt	j-vvn	burned	burn	0
childe	childe	n1	child	child	0
,	,	,	,	,	0
that	that	cst	that	that	0
then	then	av	then	then	0
too	too	av	too	too	0
late	late	av-j	late	late	0
the	the	dt	the	the	0
fire	fire	n1	fire	fire	0
dreadthe	dreadthe	n1	dreadthe	dreadthe	0
)	)	)	)	)	0
with	with	p-acp	with	with	0
much	much	d	much	much	0
repentaunce	repentaunce	n1	repentance	repentance	0
they	they	pns32	they	they	0
bye	bye	vvi	buy	buy	0
deerely	deerely	av-jn	dearly	dear	0
)	)	)	)	)	0
are	are	vbr	are	be	0
we	we	pns12	we	we	0
taught	taught	vvn	taught	teach	0
and	and	cc	and	and	0
brought	brought	vvd	brought	bring	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
dā	dā	n1	dan	dan	0
∣	∣	sy	∣	∣	0
ger	ger	pno31	her	she	0
to	to	pc-acp	to	to	0
settle	settle	vvi	settle	settle	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
seate	seate	n1	seat	seat	0
of	of	pp-f	of	of	0
suretie	suretie	n1	surety	surety	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
you	you	pn22	you	you	0
see	see	vvb	see	see	0
what	what	r-crq	what	what	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
perience	perience	n1	perience	perience	0
doth	doth	vdz	does	do	0
,	,	,	,	,	0
and	and	cc	and	and	0
thus	thus	av	thus	thus	0
you	you	pn22	you	you	0
see	see	vvb	see	see	0
where	where	c-crq	where	where	0
other	other	j-jn	other	other	0
folkes	folkes	ng2	folks	folk	0
experience	experience	n1	experience	experience	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
had	had	vhn	had	have	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
good	good	j	good	good	0
estate	estate	n1	estate	estate	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
(	(	(	(	(	0
resting	resting	vvg	resting	rest	0
chiefly	chiefly	av-jn	chiefly	chief	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
good	good	j	good	good	0
iudge	iudge	n1	judge	judge	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
and	and	cc	and	and	0
seruice	seruice	n1	service	service	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
)	)	)	)	)	0
is	is	vbz	is	be	0
as	as	p-acp	as	as	0
J	J	pns11	J	i	0
thinke	thinke	vvb	think	think	0
,	,	,	,	,	0
most	most	av-ds	most	most	0
proper	proper	j	proper	proper	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
fet	fet	vvn	fetched	fetch	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Hystorie	Hystorie	n1	History	history	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
.	.	.	.	.	1
And	And	cc	And	and	0
this	this	d	this	this	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
purpose	purpose	n1	purpose	purpose	0
,	,	,	,	,	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
bothe	bothe	d	both	both	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
my	my	po11	my	my	0
country	country	n1	country	country	0
men	men	n2	men	man	0
the	the	dt	the	the	0
Gentle	Gentle	j	Gentle	gentle	0
∣	∣	sy	∣	∣	0
men	men	n1	men	man	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Countie	Countie	n1	County	county	0
(	(	(	(	(	0
a	a	dt	a	a	0
portion	portion	n1	portion	portion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Realme	Realme	n1	Realm	realm	0
)	)	)	)	)	0
specially	specially	av-j	specially	special	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
al	al	d	all	all	0
the	the	dt	the	the	0
Gen	Gen	np1	Gen	Gen	0
∣	∣	sy	∣	∣	0
tlemen	tlemen	n2	tlemen	tleman	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Realme	Realme	n1	Realm	realm	0
beside	beside	a-acp	beside	beside	0
,	,	,	,	,	0
generally	generally	av-j	generally	general	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
resteth	resteth	vvz	rests	rest	0
that	that	d	that	that	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
booke	booke	n1	book	book	0
(	(	(	(	(	0
whiche	whiche	r-crq	which	which	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
vpon	vpon	p-acp	upon	upon	0
these	these	d	these	these	0
respectes	respectes	n2	respects	respect	0
thus	thus	av	thus	thus	0
send	send	vvi	send	send	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
these	these	d	these	these	0
reasons	reasons	n2	reasons	reason	0
thus	thus	av	thus	thus	0
commende	commende	vvi	commend	commend	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
)	)	)	)	)	0
we	we	pns12	we	we	0
shoulde	shoulde	vmd	should	shall	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
Authour	Authour	n1	Author	author	0
William	William	np1	William	William	0
Lambard	Lambard	np1	Lambard	Lambard	0
,	,	,	,	,	0
yeelde	yeelde	vvb	yield	yield	0
oure	oure	po12	our	our	0
verye	verye	j	very	very	0
hartie	hartie	j	hearty	hearty	0
and	and	cc	and	and	0
perpe	perpe	vvi	perpe	perpe	0
∣	∣	sy	∣	∣	0
tuall	tuall	n1	tuall	tuall	0
thankes	thankes	n2	thanks	thanks	0
:	:	:	:	:	0
as	as	c-acp	as	as	0
oure	oure	po12	our	our	0
Country	Country	n1	Country	country	0
man	man	n1	man	man	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
wordes	wordes	n2	words	word	0
and	and	cc	and	and	0
deedes	deedes	n2	deeds	deed	0
louingly	louingly	av-vvg	lovingly	love	0
vse	vse	vvb	use	use	0
him	him	pno31	him	he	0
:	:	:	:	:	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
man	man	n1	man	man	0
learned	learned	j	learned	learned	0
,	,	,	,	,	0
duely	duely	av-jn	duly	due	0
e	e	uh	e	e	0
∣	∣	sy	∣	∣	0
steeme	steeme	vvb	steam	steam	0
him	him	pno31	him	he	0
:	:	:	:	:	0
Mathewe	Mathewe	np1	Mathewe	Mathewe	0
Parker	Parker	np1	Parker	Parker	0
Archebi	Archebi	fw-la	Archebi	archebi	0
∣	∣	sy	∣	∣	0
shop	shop	n1	shop	shop	0
of	of	pp-f	of	of	0
Canterbu	Canterbu	np1	Canterbu	Canterbu	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Preface	Preface	n1	Preface	preface	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Booke	Booke	n1	Book	book	0
de	de	fw-fr	de	de	0
rebus	rebus	fw-la	rebus	rebus	0
ge	ge	zz	ge	ge	0
¦	¦	sy	¦	¦	0
stis	stis	zz	stis	stis	0
Aelfre	Aelfre	np1	Aelfre	Aelfre	0
∣	∣	sy	∣	∣	0
di	di	dt	di	the	0
Regis	Regis	fw-la	Regis	regis	0
.	.	.	.	.	1
(	(	(	(	(	0
for	for	c-acp	for	for	0
a	a	dt	a	a	0
late	late	j	late	late	0
very	very	av	very	very	0
well	well	av	well	well	0
lear	lear	j	lear	lear	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
and	and	cc	and	and	0
reuerend	reuerend	j-jn	reverend	reverend	0
father	father	n1	father	father	0
hath	hath	vhz	hath	have	0
publi	publi	vvn	publi	publi	0
∣	∣	sy	∣	∣	0
quely	quely	av-j	quely	que	0
and	and	cc	and	and	0
rightly	rightly	av-jn	rightly	right	0
so	so	av	so	so	0
reputed	reputed	vvn	reputed	repute	0
him	him	pno31	him	he	0
)	)	)	)	)	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
religious	religious	j	religious	religious	0
and	and	cc	and	and	0
very	very	j	very	very	0
ho	ho	zz	ho	ho	0
∣	∣	sy	∣	∣	0
nest	nest	n1	nest	nest	0
,	,	,	,	,	0
make	make	vvb	make	make	0
righte	righte	j-jn	right	right	0
accompt	accompt	n1	account	account	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
:	:	:	:	:	0
whiche	whiche	r-crq	which	which	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
parte	parte	n1	part	part	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thinke	thinke	vvb	think	think	0
meete	meete	vvi	meet	meet	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
,	,	,	,	,	0
and	and	cc	and	and	0
meane	meane	vvb	mean	mean	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
:	:	:	:	:	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
partes	partes	n2	parts	part	0
,	,	,	,	,	0
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
heartely	heartely	av-j	heartily	hearty	0
you	you	pn22	you	you	0
should	should	vmd	should	shall	0
do	do	vdi	do	do	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
assuredly	assuredly	av-vvn	assuredly	assure	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
do	do	vdi	do	do	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
by	by	p-acp	by	by	0
you	you	pn22	you	you	0
he	he	pns31	he	he	0
might	might	vmd	might	may	0
(	(	(	(	(	0
and	and	cc	and	and	0
woulde	woulde	vmd	would	will	0
)	)	)	)	)	0
be	be	vbb	be	be	0
moued	moued	vvn	moved	move	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
good	good	j	good	good	0
leysure	leysure	n1	leisure	leisure	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
as	as	c-acp	as	as	0
muche	muche	d	much	much	0
for	for	c-acp	for	for	0
all	all	d	all	all	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Counties	Counties	n2	Counties	county	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Realme	Realme	n1	Realm	realm	0
generally	generally	av-j	generally	general	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
hathe	hathe	vhz	hath	have	0
done	done	vdn	done	do	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
Countie	Countie	n1	County	county	0
specially	specially	av-j	specially	special	0
(	(	(	(	(	0
toward	toward	p-acp	towards	towards	0
whiche	whiche	r-crq	which	which	0
J	J	pns11	J	i	0
knowe	knowe	vvb	know	know	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
great	great	j	great	great	0
paine	paine	n1	pain	pain	0
and	and	cc	and	and	0
good	good	j	good	good	0
cost	cost	n1	cost	cost	0
,	,	,	,	,	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
alredy	alredy	av	already	already	0
vnder	vnder	p-acp	under	under	0
the	the	dt	the	the	0
ti	ti	zz	ti	ti	0
∣	∣	sy	∣	∣	0
tle	tle	n1	tle	tle	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Topographical	Topographical	np1	Topographical	Topographical	0
dictionarie	dictionarie	n1	dictionary	dictionary	0
gathered	gathered	vvd	gathered	gather	0
together	together	av	together	together	0
greate	greate	j	great	great	0
store	store	n1	store	store	0
of	of	pp-f	of	of	0
very	very	av	very	very	0
good	good	j	good	good	0
matter	matter	n1	matter	matter	0
)	)	)	)	)	0
himselfe	himselfe	px31	himself	himself	0
(	(	(	(	(	0
the	the	dt	the	the	0
Authour	Authour	n1	Author	author	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
)	)	)	)	)	0
were	were	vbdr	were	be	0
worthy	worthy	j	worthy	worthy	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
reward	reward	n1	reward	reward	0
,	,	,	,	,	0
&	&	cc	&	and	0
singular	singular	j	singular	singular	0
commendation	commendation	n1	commendation	commendation	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
.	.	.	.	.	1
You	You	pn22	You	you	0
(	(	(	(	(	0
the	the	dt	the	the	0
motioners	motioners	n2	motioners	motioner	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
reading	reading	n-vvg	reading	read	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
receiue	receiue	vvi	receive	receive	0
great	great	j	great	great	0
pleasure	pleasure	n1	pleasure	pleasure	0
by	by	p-acp	by	by	0
it	it	pn31	it	it	0
:	:	:	:	:	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gentlemē	Gentlemē	n2	Gentlemen	gentleman	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Realme	Realme	n1	Realm	realm	0
,	,	,	,	,	0
that	that	cst	that	that	0
of	of	pp-f	of	of	0
themselfes	themselfes	px32	themselves	themselves	0
see	see	vvi	see	see	0
what	what	q-crq	what	what	0
things	things	n2	things	thing	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
awne	awne	d	awn	own	0
coūtries	coūtries	n2	countries	country	0
are	are	vbr	are	be	0
of	of	pp-f	of	of	0
gretest	gretest	js	greatest	great	0
fame	fame	n1	fame	fame	0
now	now	av	now	now	0
,	,	,	,	,	0
&	&	cc	&	and	0
by	by	p-acp	by	by	0
that	that	d	that	that	0
boke	boke	n1	book	book	0
shal	shal	vmb	shall	shall	0
know	know	vvi	know	know	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
those	those	d	those	those	0
things	things	n2	things	thing	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
things	things	n2	things	thing	0
were	were	vbdr	were	be	0
long	long	av-j	long	long	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
gone	gone	vvn	gone	go	0
,	,	,	,	,	0
must	must	vmb	must	must	0
needes	needes	av	needs	needs	0
with	with	p-acp	with	with	0
great	great	j	great	great	0
delight	delight	n1	delight	delight	0
receiue	receiue	vvi	receive	receive	0
it	it	pn31	it	it	0
:	:	:	:	:	0
and	and	cc	and	and	0
surely	surely	av-j	surely	sure	0
,	,	,	,	,	0
being	being	vbg	being	be	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
vnto	vnto	p-acp	unto	unto	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
a	a	dt	a	a	0
very	very	j	very	very	0
deere	deere	j-jn	deer	dear	0
freende	freende	n1	friend	friend	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
myne	myne	po11	mine	my	0
awne	awne	d	awn	own	0
parte	parte	n1	part	part	0
,	,	,	,	,	0
J	J	pns11	J	i	0
meane	meane	vvb	mean	mean	0
also	also	av	also	also	0
(	(	(	(	(	0
God	God	np1	God	God	0
willing	willing	vvg	willing	will	0
)	)	)	)	)	0
vpon	vpon	p-acp	upon	upon	0
some	some	d	some	some	0
fit	fit	j	fit	fit	0
occasion	occasion	n1	occasion	occasion	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
request	request	n1	request	request	0
to	to	pc-acp	to	to	0
further	further	av-jc	further	further	0
it	it	pn31	it	it	0
.	.	.	.	.	1
The	The	dt	The	the	0
xvj	xvj	crd	xvj	xvj	0
.	.	.	.	.	0
of	of	pp-f	of	of	0
Aprill	Aprill	np1	Aprill	April	0
.	.	.	.	.	1
1576.	1576.	crd	1576.	1576.	1
Your	Your	po22	Your	your	0
Countrey	Countrey	n1	Country	country	0
man	man	n1	man	man	0
and	and	cc	and	and	0
very	very	j	very	very	0
louing	louing	j-vvg	loving	love	0
friende	friende	n1	friend	friend	0
.	.	.	.	.	1
