AMongest	AMongest	p-acp	Amongst	amongst	0
:	:	:	:	:	0
we	we	pns12	we	we	0
walke	walke	vvb	walk	walk	0
not	not	xx	not	not	0
to	to	p-acp	to	to	0
heauen	heauen	n1	heaven	heaven	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
soeuer	soeuer	av	soever	soever	0
our	our	po12	our	our	0
outward	outward	j	outward	outward	0
face	face	n1	face	face	0
pretendeth	pretendeth	vvz	pretendeth	pretend	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
examine	examine	vvi	examine	examine	0
our	our	po12	our	our	0
hartes	hartes	n2	hearts	heart	0
by	by	p-acp	by	by	0
our	our	po12	our	our	0
fruites	fruites	n2	fruits	fruit	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
thyng	thyng	n1	thing	thing	0
almost	almost	av	almost	almost	0
is	is	vbz	is	be	0
so	so	av	so	so	0
vile	vile	j	vile	vile	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
world	world	n1	world	world	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
esteme	esteme	vvb	esteem	esteem	0
not	not	xx	not	not	0
more	more	dc	more	more	0
then	then	cs	then	than	0
the	the	dt	the	the	0
kyngdome	kyngdome	n1	kingdom	kingdom	0
of	of	pp-f	of	of	0
heauē	heauē	n1	heaven	heaven	0
?	?	?	?	?	1
The	The	dt	The	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
our	our	po12	our	our	0
study	study	n1	study	study	0
,	,	,	,	,	0
or	or	cc	or	or	0
certes	certes	av	certes	certes	0
is	is	vbz	is	be	0
ye	ye	dt	the	the	0
least	least	ds	least	least	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
study	study	n1	study	study	0
.	.	.	.	.	1
Our	Our	po12	Our	our	0
wittes	wittes	n2	wits	wit	0
and	and	cc	and	and	0
senses	senses	n2	senses	sense	0
are	are	vbr	are	be	0
so	so	av	so	so	0
occupyed	occupyed	vvn	ocupied	occupy	0
in	in	p-acp	in	in	0
other	other	j-jn	other	other	0
artes	artes	n2	arts	art	0
,	,	,	,	,	0
facul	facul	fw-la	facul	facul	0
∣	∣	sy	∣	∣	0
ties	ties	vvz	ties	tie	0
,	,	,	,	,	0
sciences	sciences	n2	sciences	science	0
,	,	,	,	,	0
and	and	cc	and	and	0
studies	studies	n2	studies	study	0
,	,	,	,	,	0
or	or	cc	or	or	0
so	so	av	so	so	0
employed	employed	vvn	employed	employ	0
in	in	p-acp	in	in	0
worldly	worldly	j	worldly	worldly	0
affaires	affaires	n2	affairs	affair	0
,	,	,	,	,	0
that	that	cst	that	that	0
what	what	r-crq	what	what	0
was	was	vbds	was	be	0
done	done	vdn	done	do	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
mount	mount	n1	mount	mount	0
of	of	pp-f	of	of	0
Caluary	Caluary	np1	Caluary	Caluary	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
redemp	redemp	n1	redemp	redemp	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
,	,	,	,	,	0
scarse	scarse	av-j	scarce	scarce	0
we	we	pns12	we	we	0
haue	haue	vhb	have	have	0
laysure	laysure	n1	laysure	laysure	0
to	to	pc-acp	to	to	0
thinke	thinke	vvi	think	think	0
thereof	thereof	av	thereof	thereof	0
:	:	:	:	:	0
or	or	cc	or	or	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
thinke	thinke	vvb	think	think	0
a	a	dt	a	a	0
litle	litle	j	little	little	0
,	,	,	,	,	0
it	it	pn31	it	it	0
sincketh	sincketh	vvz	sinketh	sink	0
not	not	xx	not	not	0
downe	downe	a-acp	down	down	0
,	,	,	,	,	0
it	it	pn31	it	it	0
taryeth	taryeth	vvz	tarrieth	tarry	0
not	not	xx	not	not	0
with	with	p-acp	with	with	0
vs.	vs.	pno12	us	we	0
We	We	pns12	We	we	0
heare	heare	vvi	hear	hear	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
we	we	pns12	we	we	0
feele	feele	vvb	feel	feel	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
:	:	:	:	:	0
we	we	pns12	we	we	0
talke	talke	vvb	talk	talk	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
haue	haue	vhb	have	have	0
no	no	dx	no	no	0
experience	experience	n1	experience	experience	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
acquaintance	acquaintance	n1	acquaintance	acquaintance	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
:	:	:	:	:	0
we	we	pns12	we	we	0
honour	honour	vvb	honour	honour	0
hym	hym	pno31	him	he	0
with	with	p-acp	with	with	0
lippes	lippes	n2	lips	lip	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
our	our	po12	our	our	0
hart	hart	n1	heart	hart	0
hungereth	hungereth	vvz	hungereth	hunger	0
not	not	xx	not	not	0
after	after	p-acp	after	after	0
him	him	pno31	him	he	0
:	:	:	:	:	0
outwardly	outwardly	av-j	outwardly	outward	0
we	we	pns12	we	we	0
professe	professe	vvb	profess	profess	0
him	him	pno31	him	he	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
inwardly	inwardly	av-j	inwardly	inward	0
we	we	pns12	we	we	0
passe	passe	vvb	pass	pass	0
not	not	xx	not	not	0
for	for	p-acp	for	for	0
him	him	pno31	him	he	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
I	I	pns11	I	i	0
count	count	vvb	count	count	0
Christ	Christ	np1	Christ	Christ	0
then	then	av	then	then	0
not	not	xx	not	not	0
passed	passed	vvn	passed	pass	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
is	is	vbz	is	be	0
preferred	preferred	vvn	preferred	prefer	0
before	before	p-acp	before	before	0
him	him	pno31	him	he	0
.	.	.	.	.	1
And	And	cc	And	and	0
this	this	d	this	this	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
,	,	,	,	,	0
why	why	c-crq	why	why	0
amongest	amongest	p-acp	amongst	amongst	0
vs	vs	pno12	us	we	0
Christians	Christians	np1	Christians	Christians	0
vice	vice	n1	vice	vice	0
so	so	av	so	so	0
reigneth	reigneth	vvz	reigneth	reign	0
,	,	,	,	,	0
the	the	dt	the	the	0
phantasies	phantasies	n2	fantasies	fantasy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
worlde	worlde	n1	world	world	0
so	so	av	so	so	0
florisheth	florisheth	vvz	flourisheth	flourish	0
,	,	,	,	,	0
life	life	n1	life	life	0
ruled	ruled	vvn	ruled	rule	0
by	by	p-acp	by	by	0
affections	affections	n2	affections	affection	0
,	,	,	,	,	0
man	man	n1	man	man	0
ca	ca	zz	ca	ca	0
∣	∣	sy	∣	∣	0
ryed	ryed	vvn	ryed	ry	0
away	away	av	away	away	0
with	with	p-acp	with	with	0
vanitie	vanitie	n1	vanity	vanity	0
,	,	,	,	,	0
true	true	j	true	true	0
peace	peace	n1	peace	peace	0
lacketh	lacketh	vvz	lacketh	lack	0
,	,	,	,	,	0
blind	blind	j	blind	blind	0
ignorance	ignorance	n1	ignorance	ignorance	0
and	and	cc	and	and	0
superstition	superstition	n1	superstition	superstition	0
aboundeth	aboundeth	vvz	aboundeth	abound	0
,	,	,	,	,	0
spirituall	spirituall	j	spiritual	spiritual	0
knowledge	knowledge	n1	knowledge	knowledge	0
and	and	cc	and	and	0
power	power	n1	power	power	0
in	in	p-acp	in	in	0
mā	mā	n1	man	man	0
is	is	vbz	is	be	0
so	so	av	so	so	0
weake	weake	j	weak	weak	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
deuill	deuill	n1	devil	devil	0
so	so	av	so	so	0
strong	strong	j	strong	strong	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
sorceries	sorceries	n2	sorceries	sorcery	0
and	and	cc	and	and	0
witchcraftes	witchcraftes	n2	witchcrafts	witchcraft	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
hurt	hurt	vvi	hurt	hurt	0
and	and	cc	and	and	0
enchaunt	enchaunt	vvi	enchant	enchant	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
doth	doth	vdz	does	do	0
,	,	,	,	,	0
and	and	cc	and	and	0
mā	mā	n1	man	man	0
not	not	xx	not	not	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
withstand	withstand	vvi	withstand	withstand	0
him	him	pno31	him	he	0
.	.	.	.	.	1
Why	Why	q-crq	Why	why	0
?	?	?	?	?	1
Because	Because	p-acp	Because	because	0
Christ	Christ	np1	Christ	Christ	0
dwelleth	dwelleth	vvz	dwells	dwell	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
onely	onely	av-j	only	only	0
can	can	vmb	can	can	0
ouercome	ouercome	vvi	overcome	overcome	0
the	the	dt	the	the	0
deuill	deuill	n1	devil	devil	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
without	without	p-acp	without	without	0
Christ	Christ	np1	Christ	Christ	0
man	man	n1	man	man	0
can	can	vmb	can	can	0
do	do	vdi	do	do	0
nothing	nothing	pix	nothing	nothing	0
.	.	.	.	.	1
Wherfore	Wherfore	q-crq	Wherefore	wherefore	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
awake	awake	vvi	awake	awake	0
the	the	dt	the	the	0
hartes	hartes	n2	hearts	heart	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
Christians	Christians	np1	Christians	Christians	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
drowsie	drowsie	j	drowsy	drowsy	0
dayes	dayes	n2	days	day	0
of	of	pp-f	of	of	0
carnall	carnall	j	carnal	carnal	0
securitie	securitie	n1	security	security	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
contemplation	contemplation	n1	contemplation	contemplation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
glorious	glorious	j	glorious	glorious	0
kyngdome	kyngdome	n1	kingdom	kingdom	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
willyng	willyng	j	willing	willing	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
request	request	n1	request	request	0
of	of	pp-f	of	of	0
certaine	certaine	j	certain	certain	0
frendes	frendes	n2	friends	friend	0
to	to	pc-acp	to	to	0
condescend	condescend	vvi	condescend	condescend	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
bestowyng	bestowyng	vvg	bestowing	bestow	0
a	a	dt	a	a	0
litle	litle	j	little	little	0
paynes	paynes	n2	pains	pain	0
herein	herein	av	herein	herein	0
:	:	:	:	:	0
And	And	cc	And	and	0
partly	partly	av	partly	partly	0
also	also	av	also	also	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Papistes	Papistes	njp2	Papists	papist	0
cause	cause	n1	cause	cause	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
them	them	pno32	them	they	0
some	some	d	some	some	0
good	good	j	good	good	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
albeit	albeit	cs	albeit	albeit	0
they	they	pns32	they	they	0
professe	professe	vvb	profess	profess	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
history	history	n1	history	history	0
of	of	pp-f	of	of	0
Christes	Christes	npg1	Christes	Christ	0
passion	passion	n1	passion	passion	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
doe	doe	vdb	do	do	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
doctrine	doctrine	n1	doctrine	doctrine	0
it	it	pn31	it	it	0
seemeth	seemeth	vvz	seems	seem	0
,	,	,	,	,	0
they	they	pns32	they	they	0
goe	goe	vvb	go	go	0
no	no	av-dx	no	no	0
further	further	av-jc	further	further	0
then	then	cs	then	than	0
the	the	dt	the	the	0
outward	outward	j	outward	outward	0
history	history	n1	history	history	0
.	.	.	.	.	1
They	They	pns32	They	they	0
make	make	vvb	make	make	0
much	much	d	much	much	0
adoe	adoe	n1	ado	ado	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
Crosse	Crosse	n1	Cross	cross	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
haue	haue	vhb	have	have	0
fought	fought	vvn	fought	fight	0
these	these	d	these	these	0
500.	500.	crd	500.	500	0
yeares	yeares	n2	years	year	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
Crosse	Crosse	n1	Cross	cross	0
:	:	:	:	:	0
The	The	dt	The	the	0
passion	passion	n1	passion	passion	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
crucifi	crucifi	n2	crucifi	crucifi	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
,	,	,	,	,	0
not	not	xx	not	not	0
rightly	rightly	av-jn	rightly	right	0
knowen	knowen	vvn	known	know	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
Rome	Rome	np1	Rome	Rome	0
.	.	.	.	.	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
they	they	pns32	they	they	0
know	know	vvb	know	know	0
not	not	xx	not	not	0
his	his	po31	his	his	0
Crosse	Crosse	n1	Cross	cross	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
doe	doe	vdb	do	do	0
they	they	pns32	they	they	0
see	see	vvi	see	see	0
much	much	av-d	much	much	0
more	more	av-dc	more	more	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
passion	passion	n1	passion	passion	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
then	then	cs	then	than	0
Animalis	Animalis	np1	Animalis	Animalis	0
homo	homo	fw-la	homo	homo	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
the	the	dt	the	the	0
sensible	sensible	j	sensible	sensible	0
man	man	n1	man	man	0
may	may	vmb	may	may	0
do	do	vdi	do	do	0
.	.	.	.	.	1
They	They	pns32	They	they	0
see	see	vvb	see	see	0
him	him	pno31	him	he	0
poore	poore	j	poor	poor	0
,	,	,	,	,	0
sweating	sweating	vvg	sweating	sweat	0
,	,	,	,	,	0
bleeding	bleeding	j-vvg	bleeding	bleed	0
,	,	,	,	,	0
falsely	falsely	av-j	falsely	false	0
accused	accused	vvn	accused	accuse	0
,	,	,	,	,	0
wrongfully	wrongfully	av-j	wrongfully	wrongful	0
oppressed	oppressed	vvn	oppressed	oppress	0
,	,	,	,	,	0
wounded	wounded	j-vvn	wounded	wound	0
,	,	,	,	,	0
scourged	scourged	vvn	scourged	scourge	0
,	,	,	,	,	0
derided	derided	vvn	derided	deride	0
,	,	,	,	,	0
crowned	crowned	vvn	crowned	crown	0
with	with	p-acp	with	with	0
thorne	thorne	n1	thorn	thorn	0
,	,	,	,	,	0
nayled	nayled	vvn	nailed	nail	0
,	,	,	,	,	0
crucified	crucified	vvn	crucified	crucify	0
,	,	,	,	,	0
hangyng	hangyng	vvg	hanging	hang	0
vpon	vpon	p-acp	upon	upon	0
ye	ye	pn22	you	you	0
crosse	crosse	p-acp	cross	across	0
naked	naked	j	naked	naked	0
,	,	,	,	,	0
perced	perced	vvd	pierced	pierce	0
,	,	,	,	,	0
dead	dead	j	dead	dead	0
,	,	,	,	,	0
and	and	cc	and	and	0
buried	buried	vvn	buried	bury	0
.	.	.	.	.	1
All	All	av-d	All	all	0
this	this	d	this	this	0
they	they	pns32	they	they	0
see	see	vvb	see	see	0
and	and	cc	and	and	0
graunt	graunt	vvi	grant	grant	0
with	with	p-acp	with	with	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
his	his	po31	his	his	0
miracles	miracles	n2	miracles	miracle	0
also	also	av	also	also	0
they	they	pns32	they	they	0
confesse	confesse	vvb	confess	confess	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
wrought	wrought	vvd	wrought	wrought	0
,	,	,	,	,	0
&	&	cc	&	and	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
rose	rose	vvd	rose	rise	0
agayne	agayne	av	again	again	0
the	the	dt	the	the	0
thyrd	thyrd	ord	thyrd	thyrd	0
day	day	n1	day	day	0
,	,	,	,	,	0
&	&	cc	&	and	0
ascended	ascended	vvd	ascended	ascend	0
vp	vp	a-acp	up	up	0
&c.	&c.	av	etc.	etc	1
And	And	cc	And	and	0
because	because	c-acp	because	because	0
they	they	pns32	they	they	0
graūt	graūt	vvb	grant	grant	0
the	the	dt	the	the	0
same	same	d	same	same	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
ye	ye	dt	the	the	0
sonne	sonne	n1	son	son	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
therfore	therfore	av	therefore	therefore	0
they	they	pns32	they	they	0
magnifie	magnifie	vvb	magnify	magnify	0
&	&	cc	&	and	0
worship	worship	vvi	worship	worship	0
all	all	d	all	all	0
the	the	dt	the	the	0
outward	outward	j	outward	outward	0
implementes	implementes	n2	implements	implement	0
yt	yt	pn31	that	it	0
went	went	vvd	went	go	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
blessed	blessed	j-vvn	blessed	bless	0
passion	passion	n1	passion	passion	0
,	,	,	,	,	0
ye	ye	pn22	you	you	0
nayles	nayles	n2	nails	nail	0
,	,	,	,	,	0
the	the	dt	the	the	0
crosse	crosse	n1	cross	cross	0
&	&	cc	&	and	0
tymber	tymber	n1	timber	timber	0
,	,	,	,	,	0
the	the	dt	the	the	0
speare	speare	n1	spear	spear	0
,	,	,	,	,	0
ye	ye	pn22	you	you	0
crowne	crowne	vvb	crown	crown	0
&	&	cc	&	and	0
thornes	thornes	n2	thorns	thorn	0
,	,	,	,	,	0
hys	hys	po31	his	his	0
coate	coate	n1	coat	coat	0
and	and	cc	and	and	0
tunicle	tunicle	n1	tunicle	tunicle	0
&c.	&c.	av	etc.	etc	1
And	And	cc	And	and	0
herein	herein	av	herein	herein	0
stādeth	stādeth	vvz	stands	stand	0
almost	almost	av	almost	almost	0
the	the	dt	the	the	0
summa	summa	fw-la	summa	summa	0
totalis	totalis	fw-la	totalis	totalis	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Religion	Religion	n1	Religion	religion	0
.	.	.	.	.	1
The	The	dt	The	the	0
summe	summe	n1	sum	sum	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Popes	Popes	ng1	Popes	pope	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
ligion	ligion	n1	ligion	ligion	0
standeth	standeth	vvz	stands	stand	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
outward	outward	j	outward	outward	0
thinges	thinges	n2	things	thing	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
this	this	d	this	this	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
enough	enough	av-d	enough	enough	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
know	know	vvb	know	know	0
Christ	Christ	np1	Christ	Christ	0
Ie	Ie	fw-fr	Ie	je	0
∣	∣	sy	∣	∣	0
sus	sus	fw-la	sus	sus	0
crucified	crucified	vvd	crucified	crucify	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
him	him	pno31	him	he	0
rightly	rightly	av-jn	rightly	right	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
sufficient	sufficient	j	sufficient	sufficient	0
to	to	pc-acp	to	to	0
stay	stay	vvi	stay	stay	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
outward	outward	j	outward	outward	0
thynges	thynges	n2	things	thing	0
:	:	:	:	:	0
we	we	pns12	we	we	0
must	must	vmb	must	must	0
go	go	vvi	go	go	0
further	further	av-jc	further	further	0
then	then	cs	then	than	0
the	the	dt	the	the	0
sensible	sensible	j	sensible	sensible	0
man	man	n1	man	man	0
,	,	,	,	,	0
we	we	pns12	we	we	0
must	must	vmb	must	must	0
looke	looke	vvi	look	look	0
inwardly	inwardly	av-j	inwardly	inward	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
spirituall	spirituall	j	spiritual	spiritual	0
eye	eye	n1	eye	eye	0
into	into	p-acp	into	into	0
spirituall	spirituall	j	spiritual	spiritual	0
thynges	thynges	n2	things	thing	0
.	.	.	.	.	1
Neither	Neither	av-d	Neither	neither	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
perfectly	perfectly	av-j	perfectly	perfect	0
enough	enough	av-d	enough	enough	0
for	for	p-acp	for	for	0
vs	vs	pno12	us	we	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
that	that	cst	that	that	0
Christ	Christ	np1	Christ	Christ	0
was	was	vbds	was	be	0
crucified	crucified	vvn	crucified	crucify	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
rose	rose	vvd	rose	rise	0
agayne	agayne	av	again	again	0
,	,	,	,	,	0
and	and	cc	and	and	0
ascended	ascended	vvn	ascended	ascend	0
,	,	,	,	,	0
&c	&c	av	etc.	etc	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Turkes	Turkes	np2	Turkes	Turk	0
and	and	cc	and	and	0
euill	euill	j-jn	evil	evil	0
spirites	spirites	n2	spirits	spirit	0
know	know	vvb	know	know	0
this	this	d	this	this	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
here	here	av	here	here	0
is	is	vbz	is	be	0
neede	neede	n1	need	need	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
holy	holy	j	holy	holy	0
spirite	spirite	n1	spirit	spirit	0
,	,	,	,	,	0
and	and	cc	and	and	0
reuelation	reuelation	n1	revelation	revelation	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
pen	pen	n1	pen	pen	0
further	further	av-jc	further	further	0
vnto	vnto	p-acp	unto	unto	0
vs	vs	pno12	us	we	0
wherefore	wherefore	c-crq	wherefore	wherefore	0
he	he	pns31	he	he	0
dyed	dyed	vvd	died	die	0
,	,	,	,	,	0
wherefore	wherefore	c-crq	wherefore	wherefore	0
he	he	pns31	he	he	0
rose	rose	vvd	rose	rise	0
a	a	av	a	a	0
∣	∣	sy	∣	∣	0
gayne	gayne	n1	gain	gain	0
,	,	,	,	,	0
&	&	cc	&	and	0
for	for	p-acp	for	for	0
whom	whom	ro-crq	whom	who	0
,	,	,	,	,	0
that	that	d	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
sinnes	sinnes	n2	sins	sin	0
&	&	cc	&	and	0
our	our	po12	our	our	0
iustification	iustification	n1	justification	justification	0
:	:	:	:	:	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
,	,	,	,	,	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
the	the	dt	the	the	0
story	story	n1	story	story	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
death	death	n1	death	death	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
death	death	n1	death	death	0
and	and	cc	and	and	0
vertue	vertue	n1	virtue	virtue	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
resurrection	resurrection	n1	resurrection	resurrection	0
:	:	:	:	:	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
what	what	r-crq	what	what	0
his	his	po31	his	his	0
cruci	cruci	fw-la	cruci	cruci	0
∣	∣	sy	∣	∣	0
fiyng	fiyng	vvg	fiyng	fiyng	0
here	here	av	here	here	0
in	in	p-acp	in	in	0
earth	earth	n1	earth	earth	0
wrought	wrought	vvn	wrought	wrought	0
aboue	aboue	a-acp	above	above	0
in	in	p-acp	in	in	0
heauen	heauen	n1	heaven	heaven	0
,	,	,	,	,	0
and	and	cc	and	and	0
vnderneath	vnderneath	a-acp	underneath	underneath	0
in	in	p-acp	in	in	0
hell	hell	n1	hell	hell	0
:	:	:	:	:	0
The	The	dt	The	the	0
right	right	j-jn	right	right	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
cruci	cruci	fw-fr	cruci	cruci	0
∣	∣	sy	∣	∣	0
fied	fied	vvn	fied	fie	0
.	.	.	.	.	0
how	how	c-crq	how	how	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
bloud	bloud	n1	blood	blood	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
crosse	crosse	n1	cross	cross	0
,	,	,	,	,	0
ye	ye	pn22	you	you	0
law	law	n1	law	law	0
is	is	vbz	is	be	0
satisfied	satisfied	vvn	satisfied	satisfy	0
,	,	,	,	,	0
Gods	Gods	ng1	Gods	god	0
wrath	wrath	n1	wrath	wrath	0
killed	killed	vvn	killed	kill	0
,	,	,	,	,	0
his	his	po31	his	his	0
fauour	fauour	n1	favour	favour	0
reconciled	reconciled	vvn	reconciled	reconcile	0
,	,	,	,	,	0
all	all	d	all	all	0
thinges	thinges	n2	things	thing	0
pacified	pacified	vvd	pacified	pacify	0
both	both	d	both	both	0
in	in	p-acp	in	in	0
heauen	heauen	n1	heaven	heaven	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
the	the	dt	the	the	0
deuill	deuill	n1	devil	devil	0
conquered	conquered	vvn	conquered	conquer	0
,	,	,	,	,	0
death	death	n1	death	death	0
vanqui	vanqui	fw-la	vanqui	vanqui	0
∣	∣	sy	∣	∣	0
shed	shed	n1	shed	shed	0
,	,	,	,	,	0
hell	hell	n1	hell	hell	0
gates	gates	n2	gates	gate	0
destroyed	destroyed	vvn	destroyed	destroy	0
:	:	:	:	:	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
that	that	cst	that	that	0
crucified	crucified	vvd	crucified	crucify	0
sacrifice	sacrifice	n1	sacrifice	sacrifice	0
of	of	pp-f	of	of	0
Christes	Christes	npg1	Christes	Christ	0
body	body	n1	body	body	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
perfect	perfect	j	perfect	perfect	0
deliuerance	deliuerance	n1	deliverance	deliverance	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
his	his	po31	his	his	0
people	people	n1	people	people	0
frō	frō	p-acp	from	from	0
the	the	dt	the	the	0
begynnyng	begynnyng	n1	beginning	beginning	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
full	full	j	full	full	0
