GOD	GOD	np1	GOD	God	0
us	us	pno12	us	we	0
walk	walk	vvi	walk	walk	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
same	same	d	same	same	0
rule	rule	n1	rule	rule	0
of	of	pp-f	of	of	0
Faith	Faith	n1	Faith	faith	0
and	and	cc	and	and	0
Love	Love	n1	Love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
believe	believe	vvb	believe	believe	0
what	what	r-crq	what	what	0
Scripture	Scripture	n1	Scripture	scripture	0
testifieth	testifieth	vvz	testifieth	testify	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
waved	waved	vvn	waved	wave	0
from	from	p-acp	from	from	0
that	that	d	that	that	0
,	,	,	,	,	0
the	the	dt	the	the	0
Scriptures	Scriptures	n2	Scriptures	scripture	0
being	being	vbg	being	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
us	us	pno12	us	we	0
wise	wise	j	wise	wise	0
unto	unto	p-acp	unto	unto	0
salvation	salvation	n1	salvation	salvation	0
,	,	,	,	,	0
through	through	p-acp	through	through	0
Faith	Faith	n1	Faith	faith	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
committing	committing	vvg	committing	commit	0
my	my	po11	my	my	0
self	self	n1	self	self	0
and	and	cc	and	and	0
labour	labour	n1	labour	labour	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Lord's	Lord's	n1|vbz	Lord's	lord|be	0
gracious	gracious	j	gracious	gracious	0
good	good	j	good	good	0
pleasure	pleasure	n1	pleasure	pleasure	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
Believers	Believers	n2	Believers	believer	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
tried	tried	vvn	tried	try	0
,	,	,	,	,	0
and	and	cc	and	and	0
received	received	vvd	received	receive	0
or	or	cc	or	or	0
refused	refused	vvn	refused	refuse	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
found	found	vvn	found	find	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
agreeing	agreeing	vvg	agreeing	agree	0
or	or	cc	or	or	0
disagreeing	disagreeing	vvg	disagreeing	disagree	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
plain	plain	j	plain	plain	0
sayings	sayings	n2-vvg	sayings	say	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Te	Te	fw-la	Te	te	0
∣	∣	sy	∣	∣	0
stimony	stimony	n1	stimony	stimony	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
I	I	pns11	I	i	0
rest	rest	vvb	rest	rest	0
Wittlesey	Wittlesey	np1	Wittlesey	Wittlesey	0
.	.	.	.	.	1
Oct.	Oct.	np1	Oct.	Oct.	0
12.	12.	crd	12.	12.	0
1655.	1655.	crd	1655.	1655.	1
