SR	SR	n1	SR	sir	0
I	I	pns11	I	i	0
conceal	conceal	vvi	conceal	conceal	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
for	for	p-acp	for	for	0
His	His	po31	His	his	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
and	and	cc	and	and	0
onely	onely	av-j	only	only	0
for	for	p-acp	for	for	0
His	His	po31	His	his	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
require	require	vvb	require	require	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
from	from	p-acp	from	from	1
