THIS	THIS	d	THIS	this	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
rackes	rackes	n2	racks	rack	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
your	your	po22	your	your	0
ioyntes	ioyntes	n2	joints	joint	0
haue	haue	vhb	have	have	0
been	been	vbn	been	be	0
dissolued	dissolued	vvn	dissolved	dissolve	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Tyburnes	Tyburnes	np1	Tyburnes	Tyburnes	0
,	,	,	,	,	0
on	on	p-acp	on	on	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
been	been	vbn	been	be	0
hanged	hanged	vvn	hanged	hang	0
,	,	,	,	,	0
and	and	cc	and	and	0
vnder	vnder	p-acp	under	under	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
been	been	vbn	been	be	0
most	most	av-ds	most	most	0
butcherlie	butcherlie	j	butcherly	butcherly	0
quartered	quartered	vvn	quartered	quarter	0
,	,	,	,	,	0
&	&	cc	&	and	0
vnbowelled	vnbowelled	vvn	unboweled	unbowele	0
.	.	.	.	.	1
Yea	Yea	uh	Yea	yea	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
aug	aug	vvi	aug	aug	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
your	your	po22	your	your	0
affliction	affliction	n1	affliction	affliction	0
,	,	,	,	,	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
wanted	wanted	vvn	wanted	want	0
a	a	dt	a	a	0
IOBS	IOBS	n2	IOBS	iob	0
wife	wife	n1	wife	wife	0
,	,	,	,	,	0
carnal	carnal	j	carnal	carnal	0
and	and	cc	and	and	0
worldly	worldly	j	worldly	worldly	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
busse	busse	vvi	buss	buss	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
eares	eares	n2	ears	ear	0
that	that	cst	that	that	0
Carnall	Carnall	j	Carnal	carnal	0
counsell	counsell	n1	counsel	counsel	0
,	,	,	,	,	0
Benedic	Benedic	np1	Benedic	Benedic	0
Deo	Deo	fw-la	Deo	deo	0
&	&	cc	&	and	0
mo	mo	dc	more	more	0
∣	∣	sy	∣	∣	0
rere	rere	vvi	rear	rear	0
,	,	,	,	,	0
(	(	(	(	(	0
Iob.	Iob.	zz	Iob.	iob.	1
2.	2.	crd	2.	2.	1
(	(	(	(	(	0
Curse	Curse	vvb	Curse	curse	0
God	God	np1	God	God	0
and	and	cc	and	and	0
die	die	vvi	die	die	0
;	;	;	;	;	0
Doe	Doe	vdb	Do	do	0
against	against	p-acp	against	against	0
thy	thy	po21	thy	thy	0
Conscience	Conscience	n1	Conscience	conscience	0
,	,	,	,	,	0
frequent	frequent	j	frequent	frequent	0
hereticall	hereticall	j	heretical	heretical	0
seruice	seruice	n1	service	service	0
,	,	,	,	,	0
take	take	vvb	take	take	0
the	the	dt	the	the	0
oath	oath	n1	oath	oath	0
of	of	pp-f	of	of	0
pretended	pretended	j-vvn	pretended	pretend	0
Alleageance	Alleageance	n1	Allegiance	allegiance	0
,	,	,	,	,	0
rather	rather	av-c	rather	rather	0
then	then	cs	then	than	0
vndoe	vndoe	vvi	undo	undo	0
thy	thy	po21	thy	thy	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
thy	thy	po21	thy	thy	0
wife	wife	n1	wife	wife	0
and	and	cc	and	and	0
Children	Children	n2	Children	child	0
:	:	:	:	:	0
Yet	Yet	av	Yet	yet	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
fayled	fayled	vvd	failed	fail	0
with	with	p-acp	with	with	0
IOB	IOB	np1	IOB	Job	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
reprehend	reprehend	vvi	reprehend	reprehend	0
such	such	d	such	such	0
a	a	dt	a	a	0
wise	wise	j	wise	wise	0
,	,	,	,	,	0
and	and	cc	and	and	0
tell	tell	vvb	tell	tell	0
her	her	pno31	her	she	0
that	that	cst	that	that	0
shee	shee	pns31	she	she	0
hath	hath	vhz	hath	have	0
spoken	spoken	vvn	spoken	speak	0
like	like	av-j	like	like	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
foolish	foolish	j	foolish	foolish	0
woemen	woemen	n2	women	woman	0
.	.	.	.	.	1
(	(	(	(	(	0
Iob.	Iob.	zz	Iob.	iob.	0
2.	2.	crd	2.	2.	0
)	)	)	)	)	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Sir	Sir	n1	Sir	sir	0
THOMAS	THOMAS	np1	THOMAS	Thomas	0
MORE	MORE	av-dc	MORE	more	0
told	told	vvd	told	tell	0
his	his	po31	his	his	0
wife	wife	n1	wife	wife	0
,	,	,	,	,	0
that	that	cst	that	that	0
she	she	pns31	she	she	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
foolish	foolish	j	foolish	foolish	0
marchant	marchant	n1	merchant	merchant	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
coun	coun	vvi	con	con	0
∣	∣	sy	∣	∣	0
sell	sell	vvb	fell	sell	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
sell	sell	vvi	fell	sell	0
eternitie	eternitie	n1	eternity	eternity	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
shorte	shorte	j	short	short	0
and	and	cc	and	and	0
vncertaine	vncertaine	j	uncertain	uncertain	0
time	time	n1	time	time	0
.	.	.	.	.	1
Many	Many	av-d	Many	many	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
wanted	wanted	vvn	wanted	want	0
here	here	av	here	here	0
∣	∣	sy	∣	∣	0
tickes	tickes	n1	ticks	ticks	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
bloud	bloud	n1	blood	blood	0
and	and	cc	and	and	0
stocke	stocke	n1	stock	stock	0
,	,	,	,	,	0
prefigured	prefigured	vvd	prefigured	prefigure	0
by	by	p-acp	by	by	0
IOBS	IOBS	n2	IOBS	iob	0
false	false	j	false	false	0
and	and	cc	and	and	0
fained	fained	j-vvn	feigned	feign	0
friends	friends	n2	friends	friend	0
(	(	(	(	(	0
Iob.	Iob.	zz	Iob.	iob.	1
2.	2.	crd	2.	2.	0
)	)	)	)	)	0
who	who	r-crq	who	who	0
haue	haue	vhb	have	have	0
gone	gone	vvn	gone	go	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
bout	bout	n1	bout	bout	0
to	to	p-acp	to	to	0
perswade	perswade	vvi	persuade	persuade	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
these	these	d	these	these	0
miseries	miseries	n2	misery's	misery	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
op	op	j	open	open	0
∣	∣	sy	∣	∣	0
presse	presse	vvb	press	press	0
you	you	pn22	you	you	0
,	,	,	,	,	0
are	are	vbr	are	be	0
befallen	befallen	vvn	befallen	befall	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
obstinacie	obstinacie	n1	obstinacy	obstinacy	0
in	in	p-acp	in	in	0
Reli	Reli	fw-la	Reli	reli	0
∣	∣	sy	∣	∣	0
gion	gion	n1	gion	gion	0
;	;	;	;	;	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
repelled	repelled	vvn	repelled	repel	0
such	such	d	such	such	0
deceauing	deceauing	j-vvg	deceiving	deceive	0
friends	friends	n2	friends	friend	0
;	;	;	;	;	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
cast	cast	vvn	cast	cast	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
such	such	d	such	such	0
scandalyzing	scandalyzing	vvg	scandalyzing	scandalyze	0
eyes	eyes	n2	eyes	eye	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
shaken	shaken	vvn	shaken	shake	0
off	off	a-acp	off	off	0
such	such	d	such	such	0
friends	friends	n2	friends	friend	0
,	,	,	,	,	0
though	though	cs	though	though	0
other	other	j-jn	other	other	0
∣	∣	sy	∣	∣	0
wise	wise	n1	wise	wise	0
as	as	c-acp	as	as	0
deare	deare	j-jn	deer	dear	0
and	and	cc	and	and	0
necessarie	necessarie	j	necessary	necessary	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
eyes	eyes	n2	eyes	eye	0
,	,	,	,	,	0
and	and	cc	and	and	0
haue	haue	vhb	have	have	0
chosen	chosen	vvn	chosen	choose	0
rather	rather	av-c	rather	rather	0
to	to	pc-acp	to	to	0
goe	goe	vvi	go	go	0
to	to	p-acp	to	to	0
heauen	heauen	n1	heaven	heaven	0
blinde	blinde	j	blind	blind	0
(	(	(	(	(	0
Matt.	Matt.	np1	Matt.	Matt.	1
8.	8.	crd	8.	8.	0
)	)	)	)	)	0
then	then	av	then	then	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
directed	directed	vvn	directed	direct	0
by	by	p-acp	by	by	0
such	such	d	such	such	0
ill-guyding	ill-guyding	j	ill-guyding	ill-guyding	0
eyes	eyes	n2	eyes	eye	0
.	.	.	.	.	1
8.	8.	crd	8.	8.	1
But	But	p-acp	But	but	0
seeing	seeing	vvg	seeing	see	0
that	that	cst	that	that	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
permitted	permitted	vvn	permitted	permit	0
Sa	Sa	uh	Sa	sa	0
∣	∣	sy	∣	∣	0
than	than	zz	than	than	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
power	power	n1	power	power	0
ouer	ouer	p-acp	over	over	0
your	your	po22	your	your	0
soules	soules	n2	souls	soul	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
onely	onely	av-j	only	only	0
ouer	ouer	p-acp	over	over	0
your	your	po22	your	your	0
transitorie	transitorie	j	transitory	transitory	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
and	and	cc	and	and	0
mortal	mortal	j-jn	mortal	mortal	0
liues	liues	n2	lives	life	0
,	,	,	,	,	0
loose	loose	vvb	lose	loose	0
ye	ye	pn22	you	you	0
not	not	xx	not	not	0
either	either	d	either	either	0
hart	hart	n1	heart	hart	0
or	or	cc	or	or	0
courage	courage	n1	courage	courage	0
.	.	.	.	.	1
Sathan	Sathan	np1	Sathan	Satan	0
indeede	indeede	av	indeed	indeed	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
Ministers	Ministers	n2	Ministers	minister	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
one	one	pi	one	one	0
telleth	telleth	vvz	telleth	tell	0
you	you	pn22	you	you	0
)	)	)	)	)	0
hath	hath	vhz	hath	have	0
broken	broken	vvn	broken	break	0
downe	downe	a-acp	down	down	0
the	the	dt	the	the	0
walles	walles	n2	walls	wall	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
house	house	n1	house	house	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
no	no	dx	no	no	0
maruaile	maruaile	n1	marvel	marvel	0
,	,	,	,	,	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
but	but	cc-acp	but	but	0
of	of	pp-f	of	of	0
clay	clay	n1	clay	clay	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
he	he	pns31	he	he	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
lay	lay	vvi	lay	lay	0
handes	handes	n2	hands	hand	0
on	on	p-acp	on	on	0
your	your	po22	your	your	0
soule	soule	n1	soul	soul	0
(	(	(	(	(	0
the	the	dt	the	the	0
good	good	j	good	good	0
man	man	n1	man	man	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
house	house	n1	house	house	0
)	)	)	)	)	0
that	that	cst	that	that	0
being	being	vbg	being	be	0
forbidden	forbidden	vvn	forbidden	forbid	0
him	him	pno31	him	he	0
;	;	;	;	;	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
bro	bro	fw-ge	bro	bro	0
∣	∣	sy	∣	∣	0
ken	ken	vvi	ken	ken	0
the	the	dt	the	the	0
chest	chest	n1	chest	chest	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
bodie	bodie	n1	body	body	0
;	;	;	;	;	0
and	and	cc	and	and	0
no	no	dx	no	no	0
maruaile	maruaile	n1	marvel	marvel	0
,	,	,	,	,	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
but	but	cc-acp	but	but	0
of	of	pp-f	of	of	0
rotten	rotten	j-vvn	rotten	rot	0
board	board	n1	board	board	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
he	he	pns31	he	he	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
finger	finger	vvi	finger	finger	0
the	the	dt	the	the	0
trea	trea	n1	trea	trea	0
∣	∣	sy	∣	∣	0
sure	sure	j	sure	sure	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
Gods	Gods	ng1	Gods	god	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
and	and	cc	and	and	0
such	such	d	such	such	0
like	like	j	like	like	0
Iewels	Iewels	n2	Jewels	jewel	0
,	,	,	,	,	0
they	they	pns32	they	they	0
being	being	vbg	being	be	0
locked	locked	vvn	locked	lock	0
vp	vp	a-acp	up	up	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Cabinet	Cabinet	n1	Cabinet	cabinet	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
conscience	conscience	n1	conscience	conscience	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
onely	onely	av-j	only	only	0
keepe	keepe	vvb	keep	keep	0
the	the	dt	the	the	0
key	key	n1	key	key	0
.	.	.	.	.	1
And	And	cc	And	and	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
fore	fore	av	before	fore	0
be	be	vbi	be	be	0
yee	yee	pn22	ye	you	0
not	not	xx	not	not	0
dismayed	dismayed	vvn	dismayed	dismay	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
losse	losse	n1	loss	loss	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
temporal	temporal	j	temporal	temporal	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
liuings	liuings	n2-vvg	livings	live	0
,	,	,	,	,	0
and	and	cc	and	and	0
libertie	libertie	n1	liberty	liberty	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
corporal	corporal	j	corporal	corporal	0
life	life	n1	life	life	0
,	,	,	,	,	0
seeing	seeing	vvg	seeing	see	0
the	the	dt	the	the	0
principal	principal	n-jn	principal	principal	0
(	(	(	(	(	0
the	the	dt	the	the	0
soule	soule	n1	soul	soul	0
)	)	)	)	)	0
is	is	vbz	is	be	0
safe	safe	j	safe	safe	0
,	,	,	,	,	0
so	so	av	so	so	0
long	long	av-j	long	long	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
temporal	temporal	j	temporal	temporal	0
losses	losses	n2	losses	loss	0
,	,	,	,	,	0
giue	giue	vvb	give	give	0
God	God	np1	God	God	0
thankes	thankes	n2	thanks	thanks	0
,	,	,	,	,	0
and	and	cc	and	and	0
say	say	vvb	say	say	0
with	with	p-acp	with	with	0
IOB	IOB	np1	IOB	Job	0
,	,	,	,	,	0
Dominus	Dominus	fw-la	Dominus	dominus	0
dedit	dedit	fw-la	dedit	dedit	0
,	,	,	,	,	0
Dominus	Dominus	fw-la	Dominus	dominus	0
abstulit	abstulit	fw-la	abstulit	abstulit	0
,	,	,	,	,	0
sit	sit	fw-la	sit	sit	0
nomen	nomen	fw-la	nomen	nomen	0
Domini	Domini	fw-la	Domini	domini	0
benedictum	benedictum	fw-la	benedictum	benedictum	0
.	.	.	.	.	1
God	God	np1	God	God	0
gaue	gaue	vvd	gave	give	0
all	all	d	all	all	0
this	this	d	this	this	0
,	,	,	,	,	0
&	&	cc	&	and	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
taken	taken	vvn	taken	take	0
all	all	d	all	all	0
awaie	awaie	av	away	away	0
,	,	,	,	,	0
be	be	vbb	be	be	0
he	he	pns31	he	he	0
praysed	praysed	vvn	praised	praise	0
as	as	p-acp	as	as	0
much	much	d	much	much	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
taking	taking	n-vvg	taking	take	0
awaie	awaie	av	away	away	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
giuing	giuing	vvg	giving	give	0
.	.	.	.	.	1
8.	8.	crd	8.	8.	1
And	And	cc	And	and	0
doe	doe	vdb	do	do	0
you	you	pn22	you	you	0
not	not	xx	not	not	0
imagine	imagine	vvi	imagine	imagine	0
,	,	,	,	,	0
that	that	cst	that	that	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
for	for	p-acp	for	for	0
∣	∣	sy	∣	∣	0
saken	saken	n-vvn	saken	saken	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
permitting	permitting	vvg	permitting	permit	0
this	this	d	this	this	0
pillage	pillage	n1	pillage	pillage	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
and	and	cc	and	and	0
sackage	sackage	n1	sackage	sackage	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
estates	estates	n2	estates	estate	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
such	such	d	such	such	0
goods	goods	n2-j	goods	good	0
are	are	vbr	are	be	0
common	common	j	common	common	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
good	good	j	good	good	0
and	and	cc	and	and	0
bad	bad	j	bad	bad	0
:	:	:	:	:	0
rather	rather	av-c	rather	rather	0
take	take	vvb	take	take	0
it	it	pn31	it	it	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
signe	signe	n1	sign	sign	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
fa	fa	zz	fa	fa	0
∣	∣	sy	∣	∣	0
therie	therie	n1	therie	therie	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
giuing	giuing	vvg	giving	give	0
you	you	pn22	you	you	0
patience	patience	n1	patience	patience	0
to	to	pc-acp	to	to	0
beare	beare	vvi	bear	bear	0
with	with	p-acp	with	with	0
ala	ala	fw-fr	ala	ala	0
∣	∣	sy	∣	∣	0
critie	critie	n1	critie	critie	0
all	all	d	all	all	0
those	those	d	those	those	0
oppressions	oppressions	n2	oppressions	oppression	0
;	;	;	;	;	0
and	and	cc	and	and	0
perswade	perswade	vvb	persuade	persuade	0
your	your	po22	your	your	0
selues	selues	n2	selves	self	0
that	that	cst	that	that	0
necesse	necesse	n1	necesse	necesse	0
erat	erat	fw-la	erat	erat	0
,	,	,	,	,	0
quia	quia	fw-la	quia	quia	0
accepti	accepti	fw-la	accepti	accepti	0
eratis	eratis	fw-la	eratis	eratis	0
Deo	Deo	fw-la	Deo	deo	0
,	,	,	,	,	0
vt	vt	fw-la	vt	ut	0
tentatio	tentatio	fw-la	tentatio	tentatio	0
probaret	probaret	fw-la	probaret	probaret	0
vos	vos	fw-fr	vos	vos	0
.	.	.	.	.	1
(	(	(	(	(	0
Tob.	Tob.	np1	Tob.	Tob.	0
12.	12.	crd	12.	12.	0
)	)	)	)	)	1
It	It	pn31	It	it	0
was	was	vbds	was	be	0
necessa	necessa	fw-la	necessa	necessa	0
∣	∣	sy	∣	∣	0
rie	rie	n1	rye	rye	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
acceptable	acceptable	j	acceptable	acceptable	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
that	that	cst	that	that	0
this	this	d	this	this	0
ten	ten	crd	ten	ten	0
∣	∣	sy	∣	∣	0
tation	tation	n1	tation	tation	0
should	should	vmd	should	shall	0
prooue	prooue	vvi	prove	prove	0
you	you	pn22	you	you	0
.	.	.	.	.	1
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
indeede	indeede	av	indeed	indeed	0
cast	cast	vvn	cast	cast	0
you	you	pn22	you	you	0
into	into	p-acp	into	into	0
a	a	dt	a	a	0
fornace	fornace	n1	furnace	furnace	0
of	of	pp-f	of	of	0
tribulation	tribulation	n1	tribulation	tribulation	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Potter	Potter	n1	Potter	potter	0
doth	doth	vdz	does	do	0
his	his	po31	his	his	0
earthen	earthen	j	earthen	earthen	0
vessel	vessel	n1	vessel	vessel	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
harden	harden	vvi	harden	harden	0
it	it	pn31	it	it	0
,	,	,	,	,	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
breake	breake	vvi	break	break	0
it	it	pn31	it	it	0
:	:	:	:	:	0
or	or	cc	or	or	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Goldsmith	Goldsmith	n1	Goldsmith	goldsmith	0
doth	doth	vdz	does	do	0
his	his	po31	his	his	0
golde	golde	n1	gold	gold	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
purge	purge	vvi	purge	purge	0
it	it	pn31	it	it	0
,	,	,	,	,	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
conume	conume	vvi	conume	conume	0
it	it	pn31	it	it	0
.	.	.	.	.	1
He	He	pns31	He	he	0
hath	hath	vhz	hath	have	0
indeede	indeede	av	indeed	indeed	0
chastised	chastised	vvn	chastised	chastise	0
you	you	pn22	you	you	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
as	as	c-acp	as	as	0
his	his	po31	his	his	0
dearest	dearest	js-jn	dearest	dear	0
children	children	n2	children	child	0
,	,	,	,	,	0
not	not	xx	not	not	0
as	as	p-acp	as	as	0
seruants	seruants	n2	servants	servant	0
,	,	,	,	,	0
and	and	cc	and	and	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
anger	anger	n1	anger	anger	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
hee	hee	pns31	he	he	0
hath	hath	vhz	hath	have	0
dealt	dealt	vvn	dealt	deal	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
Apostles	Apostles	n2	Apostles	apostle	0
,	,	,	,	,	0
his	his	po31	his	his	0
Martyrs	Martyrs	n2	Martyrs	martyr	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
his	his	po31	his	his	0
Mother	Mother	n1	Mother	mother	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
his	his	po31	his	his	0
Sonne	Sonne	n1	Son	son	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
his	his	po31	his	his	0
dearest	dearest	n1	dearest	deares●●	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
his	his	po31	his	his	0
manner	manner	n1	manner	manner	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
chastice	chastice	vvi	chastise	chastise	0
whom	whom	r-crq	whom	who	0
he	he	pns31	he	he	0
loueth	loueth	vvz	loves	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
scourge	scourge	vvi	scourge	scourge	0
euery	euery	d	every	every	0
childe	childe	n1	child	child	0
that	that	cst	that	that	0
hee	hee	pns31	he	he	0
receaueth	receaueth	vvz	receiveth	receive	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
vnto	vnto	p-acp	unto	unto	0
children	children	n2	children	child	0
hee	hee	pns31	he	he	0
offereth	offereth	vvz	offereth	offer	0
himselfe	himselfe	px31	himself	himself	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
wat	wat	r-crq	what	what	0
sonne	sonne	n1	son	son	0
is	is	vbz	is	be	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
whō	whō	ro-crq	whom	who	0
the	the	dt	the	the	0
father	father	n1	father	father	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
correct	correct	vvi	correct	correct	0
?	?	?	?	?	1
(	(	(	(	(	0
Heb.	Heb.	np1	Heb.	Heb.	0
12.	12.	crd	12.	12.	0
)	)	)	)	)	1
And	And	cc	And	and	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
correction	correction	n1	correction	correction	0
is	is	vbz	is	be	0
done	done	vdn	done	do	0
,	,	,	,	,	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
embrace	embrace	vvi	embrace	embrace	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
cast	cast	vvd	cast	cast	0
the	the	dt	the	the	0
rodde	rodde	n1	rod	rod	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
fier	fier	n1	fire	fire	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
true	true	j	true	true	0
,	,	,	,	,	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
wounded	wounded	vvn	wounded	wound	0
you	you	pn22	you	you	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Surgeon	Surgeon	n1	Surgeon	surgeon	0
doth	doth	vdz	does	do	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
let	let	vvi	let	let	0
out	out	av	out	out	0
the	the	dt	the	the	0
corrupt	corrupt	j	corrupt	corrupt	0
matter	matter	n1	matter	matter	0
.	.	.	.	.	1
He	He	pns31	He	he	0
woundeth	woundeth	vvz	wounds	wound	0
and	and	cc	and	and	0
cureth	cureth	vvz	cureth	cure	0
,	,	,	,	,	0
stri	stri	fw-la	stri	stri	0
∣	∣	sy	∣	∣	0
keth	keth	zz	keth	keth	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
hands	hands	n2	hands	hand	0
shal	shal	vmb	shall	shall	0
heale	heale	vvi	heal	heal	0
(	(	(	(	(	0
Iob.	Iob.	zz	Iob.	iob.	1
5.	5.	crd	5.	5.	0
)	)	)	)	)	1
And	And	np1	And	And	0
,	,	,	,	,	0
the	the	dt	the	the	0
arrowes	arrowes	n2	arrows	arrow	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
,	,	,	,	,	0
(	(	(	(	(	0
Iob.	Iob.	zz	Iob.	iob.	1
6.	6.	crd	6.	6.	0
)	)	)	)	)	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
