YF	YF	cs	IF	if	0
and	and	cc	and	and	0
an	an	dt	and	a	0
inwarde	inwarde	j	inward	inward	0
and	and	cc	and	and	0
godlye	godlye	j	godly	godly	0
workynge	workynge	n-vvg	working	work	0
power	power	n1	power	power	0
much	much	av-d	much	much	0
releuyng	releuyng	vvg	releuyng	releuyng	0
the	the	dt	the	the	0
gryefe	gryefe	n1	grief	grief	0
of	of	pp-f	of	of	0
oure	oure	po12	our	our	0
mynde	mynde	n1	mind	mind	0
.	.	.	.	.	1
The	The	dt	The	the	0
whych	whych	r-crq	which	which	0
thyng	thyng	n1	thing	thing	0
now	now	av	now	now	0
callynge	callynge	n1	calling	calling	0
to	to	p-acp	to	to	0
remembrance	remembrance	n1	remembrance	remembrance	0
,	,	,	,	,	0
we	we	pns12	we	we	0
do	do	vdb	do	do	0
thynke	thynke	vvi	think	think	0
it	it	pn31	it	it	0
oure	oure	po12	our	our	0
du	du	fw-fr	du	du	0
∣	∣	sy	∣	∣	0
tye	tye	vvb	tie	tie	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
more	more	av-dc	more	more	0
vnnatural	vnnatural	j	unnatural	unnatural	0
then	then	cs	then	than	0
the	the	dt	the	the	0
old	old	j	old	old	0
Egyptyans	Egyptyans	njp2	Egyptyans	egyptyans	0
were	were	vbdr	were	be	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
rather	rather	av-c	rather	rather	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
of	of	pp-f	of	of	0
∣	∣	sy	∣	∣	0
fyce	fyce	n1	fice	fice	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Christian	Christian	njp	Christian	christian	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
ready	ready	j	ready	ready	0
to	to	pc-acp	to	to	0
helpe	helpe	vvi	help	help	0
all	all	d	all	all	0
men	men	n2	men	man	0
by	by	p-acp	by	by	0
all	all	d	all	all	0
wayes	wayes	n2	ways	way	0
possyble	possyble	j	possible	possible	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
can	can	vmb	can	can	0
,	,	,	,	,	0
and	and	cc	and	and	0
especyally	especyally	av-j	especially	especial	0
those	those	d	those	those	0
that	that	cst	that	that	0
be	be	vbb	be	be	0
afflicted	afflicted	vvn	afflicted	afflict	0
.	.	.	.	.	1
And	And	cc	And	and	0
herevpon	herevpon	av	hereupon	hereupon	0
we	we	pns12	we	we	0
haue	haue	vhb	have	have	0
requyred	requyred	vvd	required	require	0
hym	hym	pno31	him	he	0
of	of	pp-f	of	of	0
whom	whom	ro-crq	whom	who	0
we	we	pns12	we	we	0
had	had	vhd	had	have	0
the	the	dt	the	the	0
copye	copye	n1	copy	copy	0
of	of	pp-f	of	of	0
thys	thys	d	this	this	0
boke	boke	n1	book	book	0
☜	☜	☜	☜	☜	0
the	the	dt	the	the	0
rather	rather	av-c	rather	rather	0
at	at	p-acp	at	at	0
our	our	po12	our	our	0
request	request	n1	request	request	0
and	and	cc	and	and	0
commenda	commenda	fw-la	commenda	commenda	0
∣	∣	sy	∣	∣	0
cyon	cyon	n1	cion	cion	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
thys	thys	d	this	this	0
boke	boke	n1	book	book	0
forth	forth	av	forth	forth	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
prynte	prynte	n1	print	print	0
,	,	,	,	,	0
That	That	cst	That	that	0
not	not	xx	not	not	0
onelye	onelye	av-j	only	only	0
we	we	zz	we	we	0
or	or	cc	or	or	0
one	one	crd	one	one	0
or	or	cc	or	or	0
two	two	crd	two	two	0
more	more	dc	more	more	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
all	all	d	all	all	0
that	that	cst	that	that	0
be	be	vbb	be	be	0
afflycted	afflycted	vvn	afflicted	afflict	0
maye	maye	vmb	may	may	0
take	take	vvi	take	take	0
profyt	profyt	n1	profit	profit	0
and	and	cc	and	and	0
consolacyon	consolacyon	n1	consolation	consolation	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
wyll	wyll	vmb	will	will	0
,	,	,	,	,	0
Yea	Yea	uh	Yea	yea	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
that	that	cst	that	that	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
afflycted	afflycted	vvn	afflicted	afflict	0
,	,	,	,	,	0
maye	maye	vmb	may	may	0
eyther	eyther	av-d	either	either	0
see	see	vvi	see	see	0
what	what	r-crq	what	what	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
haue	haue	vhi	have	have	0
done	done	vdn	done	do	0
in	in	p-acp	in	in	0
theyr	theyr	po32	their	their	0
tro	tro	zz	tro	tro	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
.	.	.	.	.	1
Or	Or	cc	Or	or	0
what	what	q-crq	what	what	0
hereafter	hereafter	av	hereafter	hereafter	0
they	they	pns32	they	they	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
,	,	,	,	,	0
if	if	cs	if	if	0
anye	anye	d	any	any	0
lyke	lyke	av-j	like	like	0
happeneth	happeneth	vvz	happeneth	happen	0
,	,	,	,	,	0
Knowynge	Knowynge	vvg	Knowing	know	0
cer	cer	jc	cer	cer	0
∣	∣	sy	∣	∣	0
teynely	teynely	av-j	teynely	teyne	0
,	,	,	,	,	0
that	that	cst	that	that	0
suche	suche	d	such	such	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
vncerteintye	vncerteintye	j	vncerteintye	vncerteintye	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
and	and	cc	and	and	0
all	all	d	all	all	0
humayne	humayne	j	human	human	0
thynges	thynges	n2	things	thing	0
,	,	,	,	,	0
that	that	cst	that	that	0
no	no	dx	no	no	0
man	man	n1	man	man	0
standeth	standeth	vvz	stands	stand	0
so	so	av	so	so	0
sure	sure	av-j	sure	sure	0
▪	▪	▪	▪	▪	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
tempeste	tempeste	n1	tempest	tempest	0
of	of	pp-f	of	of	0
afflyccion	afflyccion	n1	affliction	affliction	0
and	and	cc	and	and	0
aduersyte	aduersyte	n1	adversity	adversity	0
may	may	vmb	may	may	0
ouertake	ouertake	vvi	overtake	overtake	0
.	.	.	.	.	0
cor	cor	fw-la	cor	cor	0
.	.	.	.	.	1
x	x	crd	x	ten	0
.	.	.	.	.	1
b	b	sy	b	b	0
h	h	pns31	h	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
if	if	cs	if	if	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
god	god	n1	god	god	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
syn	syn	vvi	sin	sin	0
∣	∣	sy	∣	∣	0
gularly	gularly	av-j	gularly	gular	0
helpe	helpe	vvb	help	help	0
him	him	pno31	him	he	0
,	,	,	,	,	0
caste	caste	vvd	cast	cast	0
hym	hym	pno31	him	he	0
doe	doe	vdi	do	do	0
and	and	cc	and	and	0
make	make	vvi	make	make	0
hym	hym	pno31	him	he	0
fall	fall	vvi	fallen	fall	0
,	,	,	,	,	0
Wherfore	Wherfore	c-crq	Wherefore	wherefore	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
moste	moste	av-ds	most	most	0
ne	ne	ccx	ne	ne	0
∣	∣	sy	∣	∣	0
cessarye	cessarye	j	cessarye	cessarye	0
alwaies	alwaies	av	always	always	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
in	in	p-acp	in	in	0
redyues	redyues	n2	redyues	redyue	0
suche	suche	d	such	such	0
godlye	godlye	j	godly	godly	0
medytacyons	medytacyons	n2	medytacyons	medytacyon	0
and	and	cc	and	and	0
medycynes	medycynes	n2	medicines	medicine	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
maye	maye	vmb	may	may	0
pacyye	pacyye	vvi	pacyye	pacyye	0
Gods	Gods	ng1	Gods	god	0
wrath	wrath	n1	wrath	wrath	0
begynnynge	begynnynge	n1	beginning	beginning	0
to	to	pc-acp	to	to	0
kyndle	kyndle	vvi	kindle	kindle	0
,	,	,	,	,	0
and	and	cc	and	and	0
defend	defend	vvi	defend	defend	0
in	in	p-acp	in	in	0
parte	parte	n1	part	part	0
the	the	dt	the	the	0
bytter	bytter	j	bitter	bitter	0
∣	∣	sy	∣	∣	0
nes	nes	zz	nes	nes	0
of	of	pp-f	of	of	0
afflyccyon	afflyccyon	n1	affliction	affliction	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
thys	thys	d	this	this	0
boke	boke	n1	book	book	0
is	is	vbz	is	be	0
very	very	av	very	very	0
plentuous	plentuous	j	plenteous	plenteous	0
and	and	cc	and	and	0
full	full	j	full	full	0
.	.	.	.	.	1
Fare	Fare	n1	Fare	fare	0
you	you	pn22	you	you	0
well	well	av	well	well	0
.	.	.	.	.	1
From	From	p-acp	From	from	0
oure	oure	po12	our	our	0
house	house	n1	house	house	0
at	at	p-acp	at	at	0
So	So	av	So	so	0
∣	∣	sy	∣	∣	0
merset	merset	j-jn	merset	merset	0
place	place	n1	place	place	0
,	,	,	,	,	0
the	the	av	the	then	0
▪	▪	▪	▪	▪	0
vi	vi	fw-la	vi	vi	0
.	.	.	.	.	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
May	May	np1	May	May	0
.	.	.	.	.	1
Anno.	Anno.	np1	Anno.	Anno.	0
1550.	1550.	crd	1550.	1550.	1
