Men	Men	np1	Men	Men	0
any	any	d	any	any	0
happy	happy	j	happy	happy	0
Unity	Unity	n1	Unity	unity	0
?	?	?	?	?	1
It	It	pn31	It	it	0
would	would	vmd	would	will	0
make	make	vvi	make	make	0
a	a	dt	a	a	0
mans	mans	ng1	men	man	0
heart	heart	n1	heart	heart	0
bleed	bleed	vvb	bleed	bleed	0
to	to	pc-acp	to	to	0
consider	consider	vvi	consider	consider	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
folly	folly	n1	folly	folly	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ungodly	ungodly	j	ungodly	ungodly	0
rout	rout	n1	rout	rout	0
,	,	,	,	,	0
that	that	cst	that	that	0
think	think	vvb	think	think	0
it	it	pn31	it	it	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
happy	happy	j	happy	happy	0
Union	Union	n1	Union	union	0
,	,	,	,	,	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
could	could	vmd	could	can	0
all	all	d	all	all	0
agree	agree	vvi	agree	agree	0
to	to	pc-acp	to	to	0
read	read	vvi	read	read	0
one	one	crd	one	one	0
form	form	n1	from	form	0
of	of	pp-f	of	of	0
prayer	prayer	n1	prayer	prayer	0
,	,	,	,	,	0
while	while	cs	while	while	0
some	some	d	some	some	0
love	love	n1	love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
hate	hate	vvb	hate	hate	0
the	the	dt	the	the	0
holiness	holiness	n1	holiness	holiness	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
pray	pray	vvb	pray	pray	0
for	for	p-acp	for	for	0
:	:	:	:	:	0
and	and	cc	and	and	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
could	could	vmd	could	can	0
all	all	d	all	all	0
agree	agree	vvi	agree	agree	0
to	to	pc-acp	to	to	0
use	use	vvi	use	use	0
the	the	dt	the	the	0
sign	sign	n1	sign	sign	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Cross	Cross	n1	Cross	cross	0
in	in	p-acp	in	in	0
Baptism	Baptism	n1	Baptism	baptism	0
,	,	,	,	,	0
while	while	cs	while	while	0
one	one	crd	one	one	0
half	half	n-jn	half	half	0
either	either	d	either	either	0
understand	understand	vvb	understand	understand	0
not	not	xx	not	not	0
the	the	dt	the	the	0
Baptismall	Baptismall	j	Baptismal	baptismal	0
Covenant	Covenant	n1	Covenant	covenant	0
,	,	,	,	,	0
or	or	cc	or	or	0
wil	wil	vmb	will	will	0
∣	∣	sy	∣	∣	0
fully	fully	av-j	fully	full	0
violate	violate	vvb	violate	violate	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
neglect	neglect	n1	neglect	neglect	0
,	,	,	,	,	0
or	or	cc	or	or	0
hate	hate	n1	hate	hate	0
,	,	,	,	,	0
and	and	cc	and	and	0
scorn	scorn	vvb	scorn	scorn	0
that	that	cst	that	that	0
mortified	mortified	j-vvn	mortified	mortify	0
holy	holy	j	holy	holy	0
life	life	n1	life	life	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
by	by	p-acp	by	by	0
that	that	cst	that	that	0
so	so	av	so	so	0
∣	∣	sy	∣	∣	0
lemn	lemn	j	lemn	lemn	0
Vow	Vow	vvb	Vow	vow	0
and	and	cc	and	and	0
Covenant	Covenant	n1	Covenant	covenant	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
engaged	engaged	vvn	engaged	engage	0
to	to	p-acp	to	to	0
.	.	.	.	.	1
They	They	pns32	They	they	0
are	are	vbr	are	be	0
solicitous	solicitous	j	solicitous	solicitous	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
us	us	pno12	us	we	0
all	all	d	all	all	0
to	to	p-acp	to	to	0
unity	unity	n1	unity	unity	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
gesture	gesture	n1	gesture	gesture	0
of	of	pp-f	of	of	0
recei	recei	n2	recei	recei	0
∣	∣	sy	∣	∣	0
ving	ving	j	ving	ving	0
the	the	dt	the	the	0
Sacrament	Sacrament	n1	Sacrament	sacrament	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
Supper	Supper	n1	Supper	supper	0
,	,	,	,	,	0
while	while	cs	while	while	0
some	some	d	some	some	0
take	take	vvb	take	take	0
Christ	Christ	np1	Christ	Christ	0
and	and	cc	and	and	0
life	life	n1	life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
take	take	vvb	take	take	0
their	their	po32	their	their	0
own	own	d	own	own	0
damnation	damnation	n1	damnation	damnation	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
first	first	ord	first	first	0
agree	agree	vvi	agree	agree	0
in	in	p-acp	in	in	0
being	being	vbg	being	be	0
all	all	d	all	all	0
the	the	dt	the	the	0
faithfull	faithfull	j	faithful	faithful	0
ser	ser	zz	ser	ser	0
∣	∣	sy	∣	∣	0
vants	vants	vvz	vaunts	vaunt	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
Master	Master	n1	Master	master	0
,	,	,	,	,	0
they	they	pns32	they	they	0
make	make	vvb	make	make	0
a	a	dt	a	a	0
great	great	j	great	great	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
servants	servants	n2	servants	servant	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Devil	Devil	n1	Devil	devil	0
may	may	vmb	may	may	0
use	use	vvi	use	use	0
the	the	dt	the	the	0
same	same	d	same	same	0
bodily	bodily	j	bodily	bodily	0
posture	posture	n1	posture	posture	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
worship	worship	n1	worship	worship	0
where	where	c-crq	where	where	0
their	their	po32	their	their	0
hearts	hearts	n2	hearts	heart	0
are	are	vbr	are	be	0
as	as	p-acp	as	as	0
diffe	diffe	n1	diffe	diffe	0
∣	∣	sy	∣	∣	0
rent	rent	n1	rend	rent	0
as	as	c-acp	as	as	0
spirit	spirit	n1	spirit	spirit	0
and	and	cc	and	and	0
flesh	flesh	n1	flesh	flesh	0
.	.	.	.	.	1
Poor	Poor	j	Poor	poor	0
people	people	n1	people	people	0
think	think	vvb	think	think	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
Uniformity	Uniformity	n1	Uniformity	uniformity	0
in	in	p-acp	in	in	0
certain	certain	j	certain	certain	0
Ceremonies	Ceremonies	n2	Ceremonies	ceremony	0
of	of	pp-f	of	of	0
mans	mans	ng1	men	man	0
inventi	inventi	fw-la	inventi	inventi	0
∣	∣	sy	∣	∣	0
on	on	a-acp	on	on	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
great	great	j	great	great	0
divisions	divisions	n2	divisions	division	0
and	and	cc	and	and	0
distracti	distracti	fw-la	distracti	distracti	0
∣	∣	sy	∣	∣	0
ons	ons	pp-f|pno12	ons	of|we	0
;	;	;	;	;	0
When	When	c-crq	When	when	0
,	,	,	,	,	0
alas	alas	uh	alas	alas	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
unity	unity	n1	unity	unity	0
in	in	p-acp	in	in	0
matters	matters	n2	matters	matter	0
of	of	pp-f	of	of	0
great	great	j	great	great	0
∣	∣	sy	∣	∣	0
er	er	zz	er	er	0
consequence	consequence	n1	consequence	consequence	0
,	,	,	,	,	0
even	even	av	even	even	0
of	of	pp-f	of	of	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
and	and	cc	and	and	0
Love	Love	n1	Love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
Holiness	Holiness	n1	Holiness	holiness	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
here	here	av	here	here	0
shewed	shewed	vvn	showed	show	0
.	.	.	.	.	1
If	If	cs	If	if	0
once	once	a-acp	once	once	0
we	we	pns12	we	we	0
were	were	vbdr	were	be	0
all	all	d	all	all	0
children	children	n2	children	child	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
and	and	cc	and	and	0
living	living	j-vvg	living	live	0
members	members	n2	members	member	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
renewed	renewed	vvn	renewed	renew	0
by	by	p-acp	by	by	0
one	one	crd	one	one	0
sanctifying	sanctifying	j-vvg	sanctifying	sanctify	0
Spirit	Spirit	n1	Spirit	spirit	0
,	,	,	,	,	0
and	and	cc	and	and	0
aimed	aimed	vvd	aimed	aim	0
at	at	p-acp	at	at	0
one	one	crd	one	one	0
end	end	n1	end	end	0
,	,	,	,	,	0
and	and	cc	and	and	0
walked	walked	vvd	walked	walk	0
by	by	p-acp	by	by	0
one	one	crd	one	one	0
Rule	Rule	n1	Rule	rule	0
(	(	(	(	(	0
the	the	dt	the	the	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
)	)	)	)	)	0
and	and	cc	and	and	0
had	had	vhd	had	have	0
that	that	d	that	that	0
special	special	j	special	special	0
Love	Love	n1	Love	love	0
to	to	p-acp	to	to	0
one	one	crd	one	one	0
another	another	n-jn	another	another	0
which	which	r-crq	which	which	0
Christ	Christ	np1	Christ	Christ	0
hath	hath	vhz	hath	have	0
made	made	vvn	made	make	0
the	the	dt	the	the	0
mark	mark	n1	mark	mark	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Disciples	Disciples	n2	Disciples	disciple	0
,	,	,	,	,	0
this	this	d	this	this	0
were	were	vbdr	were	be	0
an	an	dt	and	a	0
Agreement	Agreement	n1	Agreement	agreement	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
rejoyced	rejoyced	vvn	rejoiced	rejoice	0
in	in	p-acp	in	in	0
indeed	indeed	av	indeed	indeed	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
would	would	vmd	would	will	0
hold	hold	vvi	hold	hold	0
us	us	pno12	us	we	0
together	together	av	together	together	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
comfor	comfor	n1	comfort	comfort	0
∣	∣	sy	∣	∣	0
table	table	n1	table	table	0
relations	relations	n2	relations	relation	0
,	,	,	,	,	0
and	and	cc	and	and	0
assure	assure	vvb	assure	assure	0
us	us	pno12	us	we	0
that	that	d	that	that	0
we	we	pns12	we	we	0
shall	shall	vmb	shall	shall	0
live	live	vvi	live	live	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
Christ	Christ	np1	Christ	Christ	0
in	in	p-acp	in	in	0
everlasting	everlasting	j	everlasting	everlasting	0
blessedness	blessedness	n1	blessedness	blessedness	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
,	,	,	,	,	0
alas	alas	uh	alas	alas	0
,	,	,	,	,	0
if	if	cs	if	if	0
our	our	po12	our	our	0
Agreement	Agreement	n1	Agreement	agreement	0
be	be	vbi	be	be	0
no	no	av-dx	no	no	0
better	better	av-jc	better	better	0
,	,	,	,	,	0
then	then	cs	then	than	0
to	to	pc-acp	to	to	0
sit	sit	vvi	fit	sit	0
together	together	av	together	together	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
seats	seats	n2	seats	seat	0
,	,	,	,	,	0
and	and	cc	and	and	0
say	say	vvb	say	say	0
the	the	dt	the	the	0
same	same	d	same	same	0
words	words	n2	words	word	0
,	,	,	,	,	0
and	and	cc	and	and	0
use	use	vvi	use	use	0
the	the	dt	the	the	0
same	same	d	same	same	0
ge	ge	zz	ge	ge	0
∣	∣	sy	∣	∣	0
stures	stures	n2	stures	stir	0
and	and	cc	and	and	0
Ceremonies	Ceremonies	n2	Ceremonies	ceremony	0
,	,	,	,	,	0
our	our	po12	our	our	0
hearts	hearts	n2	hearts	heart	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
still	still	av	still	still	0
distant	distant	j	distant	distant	0
from	from	p-acp	from	from	0
each	each	d	each	each	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
our	our	po12	our	our	0
natures	natures	n2	nature's	nature	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
contrary	contrary	j-jn	contrary	contrary	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
malignity	malignity	n1	malignity	malignity	0
of	of	pp-f	of	of	0
ungodly	ungodly	j	ungodly	ungodly	0
hearts	hearts	n2	hearts	heart	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
break	break	vvb	break	break	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
out	out	av	out	out	0
on	on	p-acp	on	on	0
all	all	d	all	all	0
occasions	occasions	n2	occasions	occasion	0
.	.	.	.	.	1
And	And	cc	And	and	0
as	as	c-acp	as	as	0
now	now	av	now	now	0
you	you	pn22	you	you	0
hear	hear	vvb	hear	hear	0
men	men	n2	men	man	0
scorn	scorn	vvb	scorn	scorn	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
practice	practice	n1	practice	practice	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Religion	Religion	n1	Religion	religion	0
which	which	r-crq	which	which	0
themselves	themselves	px32	themselves	themselves	0
profess	profess	vvb	profess	profess	0
,	,	,	,	,	0
so	so	av	so	so	0
if	if	cs	if	if	0
God	God	np1	God	God	0
prevent	prevent	vvb	prevent	prevent	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
,	,	,	,	,	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
shortly	shortly	av-j	shortly	short	0
see	see	vvi	see	see	0
ano	ano	av	anon	anon	0
∣	∣	sy	∣	∣	0
ther	ther	dt	there	the	0
War	War	n1	War	war	0
take	take	vvb	take	take	0
off	off	a-acp	off	off	0
their	their	po32	their	their	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
straint	straint	n1	strain	strain	0
and	and	cc	and	and	0
let	let	vvb	let	let	0
them	them	pno32	them	they	0
loose	loose	vvi	lose	loose	0
,	,	,	,	,	0
and	and	cc	and	and	0
then	then	av	then	then	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
seek	seek	vvi	seek	seek	0
the	the	dt	the	the	0
blood	blood	n1	blood	blood	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
that	that	cst	that	that	0
now	now	av	now	now	0
they	they	pns32	they	they	0
seem	seem	vvb	seem	seem	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
agreed	agreed	vvn	agreed	agree	0
with	with	p-acp	with	with	0
.	.	.	.	.	1
At	At	p-acp	At	at	0
furthest	furthest	js	furthest	further	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
sure	sure	j	sure	sure	0
,	,	,	,	,	0
that	that	cst	that	that	0
very	very	av	very	very	0
shortly	shortly	av-j	shortly	short	0
we	we	pns12	we	we	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
separated	separated	vvn	separated	separate	0
as	as	a-acp	as	as	0
far	far	av-j	far	far	0
as	as	c-acp	as	as	0
Heaven	Heaven	n1	Heaven	heaven	0
and	and	cc	and	and	0
Hell	Hell	n1	Hell	hell	0
,	,	,	,	,	0
if	if	cs	if	if	0
there	there	pc-acp	there	there	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
now	now	av	now	now	0
a	a	dt	a	a	0
nearer	nearer	jc	nearer	near	0
agreement	agreement	n1	agreement	agreement	0
then	then	cs	then	than	0
in	in	p-acp	in	in	0
words	words	n2	words	word	0
and	and	cc	and	and	0
outward	outward	j	outward	outward	0
Shews	Shews	vvz	Shows	show	0
and	and	cc	and	and	0
Ceremonies	Ceremonies	n2	Ceremonies	ceremony	0
.	.	.	.	.	1
It	It	pn31	It	it	0
being	being	vbg	being	be	0
then	then	av	then	then	0
past	past	j	past	past	0
doubt	doubt	n1	doubt	doubt	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
happy	happy	j	happy	happy	0
lasting	lasting	j-vvg	lasting	last	0
Unity	Unity	n1	Unity	unity	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Spirit	Spirit	n1	Spirit	spirit	0
and	and	cc	and	and	0
a	a	dt	a	a	0
holy	holy	j	holy	holy	0
life	life	n1	life	life	0
,	,	,	,	,	0
What	What	q-crq	What	what	0
hindereth	hindereth	vvz	hindereth	hinder	0
us	us	pno12	us	we	0
from	from	p-acp	from	from	0
so	so	av	so	so	0
safe	safe	j	safe	safe	0
,	,	,	,	,	0
so	so	av	so	so	0
sweet	sweet	j	sweet	sweet	0
,	,	,	,	,	0
so	so	av	so	so	0
sure	sure	j	sure	sure	0
a	a	dt	a	a	0
Peace	Peace	n1	Peace	peace	0
?	?	?	?	?	1
Why	Why	q-crq	Why	why	0
might	might	vmd	might	may	0
not	not	xx	not	not	0
all	all	d	all	all	0
our	our	po12	our	our	0
Parishes	Parishes	n2	Parishes	parish	0
agree	agree	vvi	agree	agree	0
on	on	p-acp	on	on	0
such	such	d	such	such	0
necessary	necessary	j	necessary	necessary	0
,	,	,	,	,	0
honourable	honourable	j	honourable	honourable	0
and	and	cc	and	and	0
rea	rea	fw-la	rea	rea	0
∣	∣	sy	∣	∣	0
sonable	sonable	j-u	sonable	sonable	0
terms	terms	n2	terms	term	0
?	?	?	?	?	1
Why	Why	q-crq	Why	why	0
is	is	vbz	is	be	0
there	there	a-acp	there	there	0
in	in	p-acp	in	in	0
most	most	ds	most	most	0
places	places	n2	places	place	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
here	here	av	here	here	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
a	a	dt	a	a	0
Person	Person	n1	Person	person	0
,	,	,	,	,	0
or	or	cc	or	or	0
a	a	dt	a	a	0
Family	Family	n1	Family	family	0
,	,	,	,	,	0
that	that	cst	that	that	0
will	will	vmb	will	will	0
yield	yield	vvi	yield	yield	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
terms	terms	n2	terms	term	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
everlasting	everlasting	j	everlasting	everlasting	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
&	&	cc	&	and	0
live	live	vvi	live	live	0
as	as	p-acp	as	as	0
men	men	n2	men	man	0
that	that	cst	that	that	0
believe	believe	vvb	believe	believe	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
a	a	dt	a	a	0
God	God	n1	God	god	0
to	to	pc-acp	to	to	0
serve	serve	vvi	serve	serve	0
and	and	cc	and	and	0
please	please	vvi	please	please	0
,	,	,	,	,	0
and	and	cc	and	and	0
immortall	immortall	j	immortal	immortal	0
souls	souls	n2	souls	soul	0
to	to	pc-acp	to	to	0
save	save	vvi	save	save	0
or	or	cc	or	or	0
lose	lose	vvi	loose	lose	0
?	?	?	?	?	1
Is	Is	vbz	Is	be	0
not	not	xx	not	not	0
God	God	np1	God	God	0
willing	willing	vvg	willing	will	0
that	that	cst	that	that	0
all	all	d	all	all	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
saved	saved	vvn	saved	save	0
,	,	,	,	,	0
and	and	cc	and	and	0
come	come	vvb	come	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
1	1	crd	1	1	0
Tim.	Tim.	np1	Tim.	Tim.	1
2.4	2.4	crd	2.4	2.4	0
.	.	.	.	.	0
and	and	cc	and	and	0
that	that	cst	that	that	0
all	all	d	all	all	0
should	should	vmd	should	shall	0
agree	agree	vvi	agree	agree	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
safe	safe	j	safe	safe	0
a	a	dt	a	a	0
path	path	n1	path	path	0
?	?	?	?	?	1
Why	Why	uh-crq	Why	why	0
then	then	av	then	then	0
doth	doth	vdz	does	do	0
he	he	pns31	he	he	0
invite	invite	vvi	invite	invite	0
all	all	d	all	all	0
,	,	,	,	,	0
and	and	cc	and	and	0
tender	tender	vvb	tender	tender	0
them	them	pno32	them	they	0
his	his	po31	his	his	0
saving	saving	n-vvg	saving	save	0
mer	mer	n1	mere	mere	0
∣	∣	sy	∣	∣	0
cy	cy	n1	cy	cy	0
,	,	,	,	,	0
and	and	cc	and	and	0
send	send	vvi	send	send	0
his	his	po31	his	his	0
messengers	messengers	n2	messengers	messenger	0
to	to	pc-acp	to	to	0
command	command	vvi	command	command	0
and	and	cc	and	and	0
importune	importune	vvi	importune	importune	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
holy	holy	j	holy	holy	0
Concord	Concord	n1	Concord	concord	0
?	?	?	?	?	1
He	He	pns31	He	he	0
would	would	vmd	would	will	0
take	take	vvi	take	take	0
them	them	pno32	them	they	0
all	all	d	all	all	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
bond	bond	n1	bound	bond	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Covenant	Covenant	n1	Covenant	covenant	0
:	:	:	:	:	0
How	How	c-crq	How	how	0
oft	oft	av	oft	oft	0
would	would	vmd	would	will	0
Christ	Christ	np1	Christ	Christ	0
have	have	vhi	have	have	0
gathered	gathered	vvn	gathered	gather	0
all	all	d	all	all	0
the	the	dt	the	the	0
Children	Children	n2	Children	child	0
of	of	pp-f	of	of	0
Ierusalem	Ierusalem	np1	Ierusalem	Jerusalem	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Hen	Hen	n1	Hen	hen	0
gathereth	gathereth	vvz	gathereth	gather	0
her	her	po31	her	her	0
Chickens	Chickens	n2	Chickens	chicken	0
under	under	p-acp	under	under	0
her	her	po31	her	her	0
Wings	Wings	n2	Wings	wing	0
?	?	?	?	?	0
but	but	cc-acp	but	but	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
they	they	pns32	they	they	0
that	that	cst	that	that	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
,	,	,	,	,	0
Mat.	Mat.	np1	Mat.	Mat	1
23.37	23.37	crd	23.37	23.37	0
.	.	.	.	.	1
He	He	pns31	He	he	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
the	the	dt	the	the	0
Gospel	Gospel	n1	Gospel	gospel	0
preached	preached	vvd	preached	preach	0
to	to	p-acp	to	to	0
every	every	d	every	every	0
creature	creature	n1	creature	creature	0
,	,	,	,	,	0
Mar.	Mar.	np1	Mar.	Mar.	1
16.15	16.15	crd	16.15	16.15	0
,	,	,	,	,	0
16.	16.	crd	16.	16.	0
&	&	cc	&	and	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
the	the	dt	the	the	0
Kingdoms	Kingdoms	n2	Kingdoms	kingdom	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
become	become	vvb	become	become	0
the	the	dt	the	the	0
Kingdoms	Kingdoms	n2	Kingdoms	kingdom	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Christ	Christ	np1	Christ	Christ	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
then	then	av	then	then	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
sad	sad	j	sad	sad	0
division	division	n1	division	division	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Parishes	Parishes	n2	Parishes	parish	0
?	?	?	?	?	1
Are	Are	vbr	Are	be	0
Ministers	Ministers	n2	Ministers	minister	0
unwilling	unwilling	j	unwilling	unwilling	0
that	that	cst	that	that	0
their	their	po32	their	their	0
people	people	n1	people	people	0
should	should	vmd	should	shall	0
all	all	d	all	all	0
agree	agree	vvi	agree	agree	0
in	in	p-acp	in	in	0
holiness	holiness	n1	holiness	holiness	0
?	?	?	?	?	1
No	No	uh-dx	No	no	0
,	,	,	,	,	0
it	it	pn31	it	it	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
favor	favor	n1	favour	favour	0
you	you	pn22	you	you	0
could	could	vmd	could	can	0
do	do	vdi	do	do	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
great	great	j	great	great	0
∣	∣	sy	∣	∣	0
est	est	zz	est	est	0
joy	joy	n1	joy	joy	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
could	could	vmd	could	can	0
bring	bring	vvi	bring	bring	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
hearts	hearts	n2	hearts	heart	0
:	:	:	:	:	0
They	They	pns32	They	they	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
gladder	gladder	jc	gladder	glad	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
such	such	d	such	such	0
a	a	dt	a	a	0
blessed	blessed	j-vvn	blessed	bless	0
Unity	Unity	n1	Unity	unity	0
,	,	,	,	,	0
then	then	av	then	then	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
gave	gave	vvd	gave	give	0
them	them	pno32	them	they	0
all	all	d	all	all	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
.	.	.	.	.	1
O	O	sy	O	o	0
how	how	c-crq	how	how	0
a	a	dt	a	a	0
poor	poor	j	poor	poor	0
Minister	Minister	n1	Minister	minister	0
would	would	vmd	would	will	0
boast	boast	vvi	boast	boast	0
and	and	cc	and	and	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
a	a	dt	a	a	0
Pa	Pa	wd	Pa	pa	0
∣	∣	sy	∣	∣	0
rish	rish	zf	rish	rich	0
!	!	!	!	!	1
He	He	pns31	He	he	0
would	would	vmd	would	will	0
bless	bless	vvi	bless	bless	0
the	the	dt	the	the	0
day	day	n1	day	day	0
that	that	cst	that	that	0
ever	ever	av	ever	ever	0
he	he	pns31	he	he	0
came	came	vvd	came	come	0
among	among	p-acp	among	among	0
them	them	pno32	them	they	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
ever	ever	av	ever	ever	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
called	called	vvn	called	call	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Ministry	Ministry	n1	Ministry	ministry	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
ever	ever	av	ever	ever	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
born	born	vvn	born	bear	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
world	world	n1	world	world	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
