Honored	Honored	j-vvn	Honoured	honour	0
Thunder	Thunder	n1	Thunder	thunder	0
:	:	:	:	:	0
How	How	c-crq	How	how	0
sweet	sweet	j	sweet	sweet	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
to	to	pc-acp	to	to	0
justifie	justifie	vvi	justify	justify	0
God	God	np1	God	God	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
condemns	condemns	vvz	condemns	condemn	0
us	us	pno12	us	we	0
?	?	?	?	?	1
At	At	p-acp	At	at	0
last	last	ord	last	last	0
day	day	n1	day	day	0
we	we	pns12	we	we	0
shall	shall	vmb	shall	shall	0
say	say	vvi	say	say	0
,	,	,	,	,	0
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
knew	knew	vvd	knew	know	0
our	our	po12	our	our	0
distemper	distemper	n1	distemper	distemper	0
,	,	,	,	,	0
and	and	cc	and	and	0
he	he	pns31	he	he	0
let	let	vvb	let	let	0
us	us	pno12	us	we	0
blood	blood	n1	blood	blood	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
principal	principal	j-jn	principal	principal	0
Vein	Vein	n1	Vein	vein	0
;	;	;	;	;	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
perished	perished	vvn	perished	perish	0
,	,	,	,	,	0
we	we	pns12	we	we	0
had	had	vhd	had	have	0
perished	perished	vvn	perished	perish	0
:	:	:	:	:	0
His	His	png31	His	he	0
Sun	Sun	n1	Sun	sun	0
∣	∣	sy	∣	∣	0
shine	shine	vvb	shine	shine	0
melted	melted	vvd	melted	melt	0
us	us	pno12	us	we	0
,	,	,	,	,	0
his	his	po31	his	his	0
Hammer	Hammer	n1	Hammer	hammer	0
brake	brake	vvd	brake	break	0
us	us	pno12	us	we	0
.	.	.	.	.	1
Blessed	Blessed	j-vvn	Blessed	bless	0
affliction	affliction	n1	affliction	affliction	0
!	!	!	!	!	0
that	that	cst	that	that	0
made	made	vvd	made	make	0
us	us	pno12	us	we	0
see	see	vvi	see	see	0
more	more	dc	more	more	0
uglinesse	uglinesse	n1	ugliness	ugliness	0
and	and	cc	and	and	0
emptinesse	emptinesse	n1	emptiness	emptiness	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Creature	Creature	n1	Creature	creature	0
,	,	,	,	,	0
and	and	cc	and	and	0
more	more	dc	more	more	0
excellency	excellency	n1	excellency	excellency	0
in	in	p-acp	in	in	0
God	God	np1	God	God	0
,	,	,	,	,	0
that	that	cst	that	that	0
weaned	weaned	j-vvn	weaned	wean	0
our	our	po12	our	our	0
affections	affections	n2	affections	affection	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
occasioned	occasioned	vvn	occasioned	occasion	0
our	our	po12	our	our	0
more	more	av-dc	more	more	0
seri	seri	fw-la	seri	seri	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
thoughts	thoughts	n2	thoughts	thought	0
of	of	pp-f	of	of	0
Eternity	Eternity	n1	Eternity	eternity	0
.	.	.	.	.	1
It	It	pn31	It	it	0
may	may	vmb	may	may	0
satisfie	satisfie	vvi	satisfy	satisfy	0
us	us	pno12	us	we	0
,	,	,	,	,	0
That	That	cst	That	that	0
God	God	np1	God	God	0
dealeth	dealeth	vvz	deals	deal	0
with	with	p-acp	with	with	0
his	his	png31	his	he	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Persians	Persians	njp2	Persians	persian	0
,	,	,	,	,	0
I	I	pns11	I	i	0
take	take	vvb	take	take	0
it	it	pn31	it	it	0
,	,	,	,	,	0
do	do	vdb	do	do	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
offending	offending	j-vvg	offending	offend	0
children	children	n2	children	child	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Princes	Princes	n2	Princes	prince	0
;	;	;	;	;	0
they	they	pns32	they	they	0
correct	correct	vvb	correct	correct	0
their	their	po32	their	their	0
Royal	Royal	j	Royal	royal	0
Garments	Garments	n2	Garments	garment	0
in	in	p-acp	in	in	0
publick	publick	j	public	public	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
let	let	vvb	let	let	0
their	their	po32	their	their	0
Persons	Persons	n2	Persons	person	0
go	go	vvb	go	go	0
free	free	j	free	free	0
;	;	;	;	;	0
our	our	po12	our	our	0
Bodies	Bodies	n2	Bodies	body	0
are	are	vbr	are	be	0
beaten	beaten	vvn	beaten	beat	0
,	,	,	,	,	0
and	and	cc	and	and	0
our	our	po12	our	our	0
Souls	Souls	n2	Souls	soul	0
are	are	vbr	are	be	0
bettered	bettered	vvn	bettered	better	0
:	:	:	:	:	0
Here	Here	av	Here	here	0
we	we	pns12	we	we	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
polished	polished	vvn	polished	polish	0
by	by	p-acp	by	by	0
Tryals	Tryals	n2	Trials	trial	0
,	,	,	,	,	0
and	and	cc	and	and	0
hewn	hewn	vvn	hewn	hew	0
by	by	p-acp	by	by	0
Hammers	Hammers	n2	Hammers	hammer	0
,	,	,	,	,	0
and	and	cc	and	and	0
hereafter	hereafter	av	hereafter	hereafter	0
we	we	pns12	we	we	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
laid	laid	vvn	laid	lay	0
into	into	p-acp	into	into	0
Gods	Gods	npg1	Gods	God	0
Building	Building	n1	Building	building	0
;	;	;	;	;	0
Nunc	Nunc	fw-la	Nunc	nunc	0
foris	foris	fw-la	foris	foris	0
per	per	fw-la	per	per	0
flagella	flagella	fw-la	flagella	flagella	0
tundi	tundi	fw-la	tundi	tundi	0
∣	∣	sy	∣	∣	0
mur	mur	n1	mur	mur	0
,	,	,	,	,	0
ut	ut	fw-la	ut	ut	0
intus	intus	fw-la	intus	intus	0
in	in	p-acp	in	in	0
Templum	Templum	np1	Templum	Templum	0
Do	Do	vdb	Do	do	0
∣	∣	sy	∣	∣	0
mini	mini	fw-la	mini	mini	0
disponamur	disponamur	fw-la	disponamur	disponamur	0
,	,	,	,	,	0
Afflictions	Afflictions	n2	Afflictions	affliction	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
fruit	fruit	n1	fruit	fruit	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Wisdom	Wisdom	n1	Wisdom	wisdom	0
,	,	,	,	,	0
Repentance	Repentance	n1	Repentance	repentance	0
our	our	po12	our	our	0
fruit	fruit	n1	fruit	fruit	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Afflictions	Afflictions	n2	Afflictions	affliction	0
:	:	:	:	:	0
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
grant	grant	vvb	grant	grant	0
that	that	cst	that	that	0
all	all	d	all	all	0
our	our	po12	our	our	0
storms	storms	n2	storms	storm	0
may	may	vmb	may	may	0
drive	drive	vvi	drive	drive	0
us	us	pno12	us	we	0
nigher	nigher	av-jc	nigher	nigh	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
Harbor	Harbor	n1	Harbour	harbour	0
.	.	.	.	.	1
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
hum	hum	vvi	hum	hum	0
∣	∣	sy	∣	∣	0
bly	bly	zz	bly	bly	0
crave	crave	n1	crave	crave	0
excuse	excuse	n1	excuse	excuse	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
freedom	freedom	n1	freedom	freedom	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
your	your	po22	your	your	0
Ingenuity	Ingenuity	n1	Ingenuity	ingenuity	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
your	your	po22	your	your	0
condition	condition	n1	condition	condition	0
requireth	requireth	vvz	requires	require	0
support	support	n1	support	support	0
;	;	;	;	;	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
remembring	remembring	vvg	remembering	remember	0
that	that	d	that	that	0
words	words	n2	words	word	0
spoken	spoken	vvn	spoken	speak	0
in	in	p-acp	in	in	0
season	season	n1	season	season	0
,	,	,	,	,	0
are	are	vbr	are	be	0
like	like	av-j	like	like	0
Apples	Apples	n2	Apples	apple	0
of	of	pp-f	of	of	0
Gold	Gold	n1	Gold	gold	0
in	in	p-acp	in	in	0
Pictures	Pictures	n2	Pictures	picture	0
of	of	pp-f	of	of	0
Silver	Silver	n1	Silver	silver	0
.	.	.	.	.	1
I	I	pns11	I	i	0
am	am	vbm	am	be	0
sorry	sorry	j	sorry	sorry	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
sad	sad	j	sad	sad	0
an	an	dt	and	a	0
occasion	occasion	n1	occasion	occasion	0
of	of	pp-f	of	of	0
presenting	presenting	vvg	presenting	present	0
this	this	d	this	this	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
so	so	av	so	so	0
seasonable	seasonable	j	seasonable	seasonable	0
a	a	dt	a	a	0
subject	subject	n-jn	subject	subject	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
:	:	:	:	:	0
I	I	pns11	I	i	0
request	request	vvb	request	request	0
your	your	po22	your	your	0
acceptance	acceptance	n1	acceptance	acceptance	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
;	;	;	;	;	0
the	the	dt	the	the	0
advantage	advantage	n1	advantage	advantage	0
whereof	whereof	c-crq	whereof	whereof	0
,	,	,	,	,	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
desire	desire	n1	desire	desire	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
From	From	p-acp	From	from	0
my	my	po11	my	my	0
Sudy	Sudy	n1	Sudy	sudy	0
in	in	p-acp	in	in	0
Shoreditch	Shoreditch	np1	Shoreditch	Shoreditch	0
,	,	,	,	,	0
Decem.	Decem.	np1	Decem.	Decem.	1
20.	20.	crd	20.	20.	0
1656.	1656.	crd	1656.	1656.	1
