MAny	MAny	av-d	MAny	many	0
Poe	Poe	zz	Poe	poe	0
,	,	,	,	,	0
Pandaus	Pandaus	np1	Pandaus	Pandaus	0
and	and	cc	and	and	0
Bas	Bas	np1	Bas	Bas	0
so	so	av	so	so	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
stand	stand	vvi	stand	stand	0
forth	forth	av	forth	forth	0
the	the	dt	the	the	0
one	one	crd	one	one	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
one	one	crd	one	one	0
side	side	n1	side	side	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
gate	gate	n1	gate	gate	0
,	,	,	,	,	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
iointly	iointly	av-j	jointly	joint	0
stop	stop	vvb	stop	stop	0
∣	∣	sy	∣	∣	0
ping	ping	j	ping	ping	0
the	the	dt	the	the	0
entrance	entrance	n1	entrance	entrance	0
&	&	cc	&	and	0
irruption	irruption	n1	irruption	irruption	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
mon	mon	fw-fr	mon	mon	0
enemie	enemie	n1	enemy	enemy	0
.	.	.	.	.	1
Daxtrâ	Daxtrâ	fw-la	Daxtrâ	daxtrâ	0
et	et	fw-la	et	et	0
laevâ	laevâ	fw-la	laevâ	laevâ	0
pro	pro	fw-la	pro	pro	0
turribus	turribus	fw-la	turribus	turribus	0
astent	astent	n1	astent	astent	0
:	:	:	:	:	0
Armas	Armas	np1	Armas	Armas	0
ferro	ferro	fw-la	ferro	ferro	0
,	,	,	,	,	0
et	et	fw-la	et	et	0
crstis	crstis	fw-la	crstis	crstis	0
capi	capi	fw-la	capi	capi	0
alta	alta	fw-la	alta	alta	0
corusci	corusci	fw-la	corusci	corusci	0
.	.	.	.	.	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
neither	neither	av-dx	neither	neither	0
can	can	vmb	can	can	0
the	the	dt	the	the	0
quick	quick	j	quick	quick	0
∣	∣	sy	∣	∣	0
sighted	sighted	vvn	sighted	sight	0
eie	eie	n1	eye	eye	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sunne	sunne	n1	sun	sun	0
(	(	(	(	(	0
)	)	)	)	)	0
be	be	vbi	be	be	0
throughly	throughly	av-j	thoroughly	thorough	0
circum	circum	fw-la	circum	circum	0
∣	∣	sy	∣	∣	0
spect	spect	vvn	specked	speck	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
things	things	n2	things	thing	0
:	:	:	:	:	0
nay	nay	uh-x	nay	nay	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
round	round	av-j	round	round	0
about	about	p-acp	about	about	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
:	:	:	:	:	0
whence	whence	c-crq	whence	whence	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
saide	saide	vvn	said	say	0
,	,	,	,	,	0
Etiam	Etiam	fw-la	Etiam	etiam	0
capillus	capillus	fw-la	capillus	capillus	0
vus	vus	crd	vus	vus	0
abet	abet	n1	abet	abet	0
vmbram	vmbram	fw-la	vmbram	vmbram	0
suam	suam	fw-la	suam	svam	0
.	.	.	.	.	0
neither	neither	av-dx	neither	neither	0
was	was	vbds	was	be	0
Hectors	Hectors	npg1	Hectors	Hector	0
speech	speech	n1	speech	speech	0
of	of	pp-f	of	of	0
Achilles	Achilles	np1	Achilles	Achilles	0
emu	emu	uh	emu	emu	0
∣	∣	sy	∣	∣	0
lation	lation	n1	lation	lation	0
or	or	cc	or	or	0
envy	envy	n1	envy	envy	0
,	,	,	,	,	0
rather	rather	av-c	rather	rather	0
then	then	cs	then	than	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
whene	whene	c-crq	when	when	0
he	he	pns31	he	he	0
tould	tould	vvd	told	tell	0
his	his	po31	his	his	0
souldiers	souldiers	n2	soldiers	soldier	0
,	,	,	,	,	0
.	.	.	.	.	1
He	He	pns31	He	he	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
greater	greater	jc	greater	great	0
then	then	cs	then	than	0
any	any	d	any	any	0
Achilles	Achilles	np1	Achilles	Achilles	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
proper	proper	j	proper	proper	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
alone	alone	av-j	alone	alone	0
)	)	)	)	)	0
which	which	r-crq	which	which	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
alone	alone	j	alone	alone	0
.	.	.	.	.	1
Even	Even	j	Even	even	0
Adam	Adam	np1	Adam	Adam	0
in	in	p-acp	in	in	0
Paradise	Paradise	n1	Paradise	paradise	0
had	had	vhd	had	have	0
neede	neede	n1	need	need	0
,	,	,	,	,	0
and	and	cc	and	and	0
everie	everie	d	every	every	0
creature	creature	n1	creature	creature	0
hath	hath	vhz	hath	have	0
neede	neede	n1	need	need	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
helper	helper	n1	helper	helper	0
.	.	.	.	.	1
I	I	pns11	I	i	0
confesse	confesse	vvb	confess	confess	0
(	(	(	(	(	0
the	the	dt	the	the	0
thankes	thankes	n2	thanks	thanks	0
be	be	vbb	be	be	0
vnto	vnto	p-acp	unto	unto	0
God	God	np1	God	God	0
)	)	)	)	)	0
there	there	pc-acp	there	there	0
are	are	vbr	are	be	0
many	many	d	many	many	0
helpers	helpers	n2	helpers	helper	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
church	church	n1	church	church	0
,	,	,	,	,	0
ioyning	ioyning	vvg	joining	join	0
hand	hand	n1	hand	hand	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
vpon	vpon	p-acp	upon	upon	0
whō	whō	ro-crq	whom	who	0
out	out	av	out	out	0
eies	eies	n2	eyes	eye	0
are	are	vbr	are	be	0
chiefely	chiefely	av-jn	chiefly	chief	0
fixte	fixte	vvn	fixte	fixte	0
:	:	:	:	:	0
even	even	av	even	even	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
those	those	d	those	those	0
9.	9.	crd	9.	9	1
Peers	Peers	np1	Peers	Peers	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
whom	whom	ro-crq	whom	who	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
Achilles	Achilles	np1	Achilles	Achilles	0
ceased	ceased	vvd	ceased	cease	0
from	from	p-acp	from	from	0
warre	warre	n1	war	war	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
disconte	disconte	n1	disconte	disconte	0
,	,	,	,	,	0
Aax	Aax	np1	Aax	Ajax	0
makes	makes	vvz	makes	make	0
boast	boast	n1	boast	boast	0
to	to	p-acp	to	to	0
Hector	Hector	np1	Hector	Hector	0
:	:	:	:	:	0
that	that	cst	that	that	0
without	without	p-acp	without	without	0
the	the	dt	the	the	0
hardy	hardy	j	hardy	hardy	0
Achilles	Achilles	np1	Achilles	Achilles	0
there	there	a-acp	there	there	0
was	was	vbds	was	be	0
choise	choise	n1	choice	choice	0
enough	enough	av-d	enough	enough	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
to	to	pc-acp	to	to	0
encounter	encounter	vvi	encounter	encounter	0
him	him	pno31	him	he	0
.	.	.	.	.	1
Yea	Yea	uh	Yea	yea	0
,	,	,	,	,	0
if	if	cs	if	if	0
our	our	po12	our	our	0
Latona	Latona	npg1	Latona	Latona	0
had	had	vhd	had	have	0
but	but	p-acp	but	but	0
two	two	crd	two	two	0
to	to	pc-acp	to	to	0
maintain	maintain	vvi	maintain	maintain	0
her	her	po31	her	her	0
quarrell	quarrell	n1	quarrel	quarrel	0
yet	yet	av	yet	yet	0
Latonaes	Latonaes	npg1	Latonaes	Latona	0
two	two	crd	two	two	0
would	would	vmd	would	will	0
easily	easily	av-j	easily	easy	0
bee	bee	vbi	be	be	0
sufficient	sufficient	j	sufficient	sufficient	0
against	against	p-acp	against	against	0
Niobes	Niobes	npg1	Niobes	Niobe	0
never	never	av	never	never	0
so	so	av	so	so	0
ma	ma	fw-fr	ma	ma	0
∣	∣	sy	∣	∣	0
ny	ny	av	nigh	nigh	0
:	:	:	:	:	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
if	if	cs	if	if	0
the	the	dt	the	the	0
best	best	js	best	best	0
among	among	p-acp	among	among	0
vs	vs	pno12	us	we	0
continue	continue	vvi	continue	continue	0
thus	thus	av	thus	thus	0
dif	dif	j	dif	dif	0
∣	∣	sy	∣	∣	0
fident	fident	j	fident	fident	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
ability	ability	n1	ability	ability	0
(	(	(	(	(	0
how	how	c-crq	how	how	0
confidēt	confidēt	j	confident	confident	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
soëver	soëver	av	soëver	soëver	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
)	)	)	)	)	0
it	it	pn31	it	it	0
i	i	sy	i	i	0
to	to	p-acp	to	to	0
bee	bee	vbi	be	be	0
fea	fea	n1	fea	fea	0
∣	∣	sy	∣	∣	0
red	red	j-jn	read	red	0
,	,	,	,	,	0
least	least	cs	lest	lest	0
hee	hee	pns31	he	he	0
which	which	r-crq	which	which	0
as	as	c-acp	as	as	0
yet	yet	av	yet	yet	0
hath	hath	vhz	hath	have	0
,	,	,	,	,	0
or	or	cc	or	or	0
may	may	vmb	may	may	0
haue	haue	vhi	have	have	0
many	many	d	many	many	0
helpers	helpers	n2	helpers	helper	0
,	,	,	,	,	0
bee	bee	vbb	be	be	0
at	at	p-acp	at	at	0
length	length	n1	length	length	0
either	either	av-d	either	either	0
left	left	vvn	left	leave	0
alone	alone	av-j	alone	alone	0
,	,	,	,	,	0
or	or	cc	or	or	0
without	without	p-acp	without	without	0
a	a	dt	a	a	0
fitte	fitte	n1	fit	fit	0
helper	helper	n1	helper	helper	0
.	.	.	.	.	1
Such	Such	d	Such	such	0
a	a	dt	a	a	0
one	one	pi	one	one	0
as	as	p-acp	as	as	0
this	this	d	this	this	0
autor	autor	n1	author	author	0
(	(	(	(	(	0
to	to	pc-acp	to	to	0
speake	speake	vvi	speak	speak	0
without	without	p-acp	without	without	0
the	the	dt	the	the	0
dis	dis	d	dis	this	0
∣	∣	sy	∣	∣	0
prise	prise	fw-fr	prise	prise	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
)	)	)	)	)	0
sure	sure	j	sure	sure	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
he	he	pns31	he	he	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
partiall	partiall	j	partial	partial	0
even	even	av	even	even	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
his	his	po31	his	his	0
godly	godly	j	godly	godly	0
Sermon	Sermon	n1	Sermon	sermon	0
may	may	vmb	may	may	0
discerne	discerne	vvi	discern	discern	0
him	him	pno31	him	he	0
:	:	:	:	:	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
can	can	vmb	can	can	0
know	know	vvi	know	know	0
a	a	dt	a	a	0
I	I	zz	I	i	0
yon	yon	d	yond	yond	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
claw	claw	n1	claw	claw	0
,	,	,	,	,	0
and	and	cc	and	and	0
Hercules	Hercules	np1	Hercules	Hercules	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
singer	singer	n1	singer	singer	0
..	..	..	..	..	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
turba	turba	fw-la	turba	turba	0
may	may	n1	may	may	0
by	by	p-acp	by	by	0
feeling	feeling	n-vvg	feeling	feel	0
bee	bee	vbi	be	be	0
found	found	vvn	found	find	0
out	out	av	out	out	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
blinde	blinde	j	blind	blind	0
.	.	.	.	.	0
,	,	,	,	,	1
..	..	..	..	..	1
I	I	pns11	I	i	0
speake	speake	vvb	speak	speak	0
even	even	av	even	even	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
ser	ser	n1	sir	sir	0
∣	∣	sy	∣	∣	0
mon	mon	fw-fr	mon	mon	0
appeareth	appeareth	vvz	appears	appear	0
:	:	:	:	:	0
whether	whether	cs	whither	whether	0
we	we	pns12	we	we	0
cōsider	cōsider	vvi	consider	consider	0
the	the	dt	the	the	0
di	di	zz	di	di	0
∣	∣	sy	∣	∣	0
rectnes	rectnes	n1	rectnes	rectnes	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
method	method	n1	method	method	0
,	,	,	,	,	0
&	&	cc	&	and	0
distinct	distinct	j	distinct	distinct	0
ordering	ordering	n-vvg	ordering	order	0
and	and	cc	and	and	0
handling	handling	n-vvg	handling	handle	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
many	many	d	many	many	0
chiefe	chiefe	j-jn	chief	chief	0
pointes	pointes	n2	points	point	0
of	of	pp-f	of	of	0
diine	diine	j	diine	diine	0
meditation	meditation	n1	meditation	meditation	0
and	and	cc	and	and	0
singular	singular	j	singular	singular	0
vse	vse	n1	use	use	0
,	,	,	,	,	0
or	or	cc	or	or	0
his	his	po31	his	his	0
zeale	zeale	n1	zeal	zeal	0
in	in	p-acp	in	in	0
affection	affection	n1	affection	affection	0
,	,	,	,	,	0
or	or	cc	or	or	0
his	his	po31	his	his	0
discreet	discreet	j	discreet	discreet	0
moderati	moderati	fw-la	moderati	moderati	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
n	n	zz	n	n	0
applying	applying	vvg	applying	apply	0
,	,	,	,	,	0
or	or	cc	or	or	0
delightfull	delightfull	j	delightful	delightful	0
copiousnes	copiousnes	n1	copiousness	copiousness	0
in	in	p-acp	in	in	0
.	.	.	.	.	1
I	I	pns11	I	i	0
speake	speake	vvb	speak	speak	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
sparingly	sparingly	av-vvg	sparingly	spare	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
speak	speak	vvb	speak	speak	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
face	face	n1	face	face	0
:	:	:	:	:	0
&	&	cc	&	and	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
speake	speake	vvb	speak	speak	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
Reverend	Reverend	n-jn	Reverend	reverend	0
)	)	)	)	)	0
which	which	r-crq	which	which	0
haue	haue	vhb	have	have	0
knowne	knowne	vvn	known	know	0
him	him	pno31	him	he	0
so	so	av	so	so	0
long	long	av-j	long	long	0
▪	▪	▪	▪	▪	0
and	and	cc	and	and	0
ever	ever	av	ever	ever	0
since	since	c-acp	since	since	0
you	you	pn22	you	you	0
knewe	knewe	vvd	knew	know	0
him	him	pno31	him	he	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
loved	loved	vvn	loved	love	0
him	him	pno31	him	he	0
so	so	av	so	so	0
deatly	deatly	av-j	deatly	deat	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
his	his	po31	his	his	0
modesty	modesty	n1	modesty	modesty	0
woulde	woulde	vmd	would	will	0
not	not	xx	not	not	0
forget	forget	vvi	forget	forget	0
her	her	po31	her	her	0
selfe	selfe	n1	self	self	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
thing	thing	n1	thing	thing	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
make	make	vvi	make	make	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
iudging	iudging	vvg	judging	judge	0
of	of	pp-f	of	of	0
himselfe	himselfe	px31	himself	himself	0
to	to	p-acp	to	to	0
attribute	attribute	n1	attribute	attribute	0
(	(	(	(	(	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
most	most	av-ds	most	most	0
against	against	p-acp	against	against	0
modesty	modesty	n1	modesty	modesty	0
)	)	)	)	)	0
more	more	n1	more	moor	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
iudgment	iudgment	n1	judgement	judgement	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
too	too	av	too	too	0
severe	severe	j	severe	severe	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
∣	∣	sy	∣	∣	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
then	then	av	then	then	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
ps	ps	n1	psalm	psalm	0
.	.	.	.	.	0
farre	farre	j	far	far	0
more	more	av-dc	more	more	0
indiffe	indiffe	n1	indiffe	indiffe	0
∣	∣	sy	∣	∣	0
rent	rent	n1	rend	rent	0
estimation	estimation	n1	estimation	estimation	0
.	.	.	.	.	0
whose	whose	rg-crq	whose	who	0
intirenes	intirenes	n1	intirenes	intirenes	0
of	of	pp-f	of	of	0
affectiō	affectiō	n1	affection	affection	0
towards	towards	p-acp	towards	towards	0
him	him	pno31	him	he	0
,	,	,	,	,	0
seeing	seeing	vvg	seeing	see	0
it	it	pn31	it	it	0
first	first	ord	first	first	0
arose	arose	vvd	arose	arise	0
frō	frō	p-acp	from	from	0
iudge	iudge	vvi	judge	judge	0
∣	∣	sy	∣	∣	0
ment	ment	fw-la	ment	ment	0
,	,	,	,	,	0
cannot	cannot	vmbx	cannot	can	0
bee	bee	vbi	be	be	0
any	any	d	any	any	0
better	better	jc	better	better	0
argument	argument	n1	argument	argument	0
a	a	sy	a	a	0
∣	∣	sy	∣	∣	0
gainst	gainst	p-acp	gainst	against	0
the	the	dt	the	the	0
soundnesse	soundnesse	n1	soundness	soundness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
iudgemente	iudgemente	n1	judgement	judgement	0
,	,	,	,	,	0
then	then	cs	then	than	0
the	the	dt	the	the	0
sweetenesse	sweetenesse	n1	sweetness	sweetness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
fruite	fruite	n1	fruit	fruit	0
is	is	vbz	is	be	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
soundnesse	soundnesse	n1	soundness	soundness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
roote	roote	n1	root	root	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
why	why	q-crq	why	why	0
shoulde	shoulde	vmd	should	shall	0
hee	hee	pns31	he	he	0
suffer	suffer	vvi	suffer	suffer	0
his	his	po31	his	his	0
learned	learned	j	learned	learned	0
papyrs	papyrs	n2	papyrs	papyr	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
like	like	av-j	like	like	0
the	the	dt	the	the	0
hidden	hidden	j-vvn	hidden	hide	0
riches	riches	n2	riches	riches	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
covetous	covetous	j	covetous	covetous	0
man	man	n1	man	man	0
,	,	,	,	,	0
good	good	j	good	good	0
for	for	p-acp	for	for	0
none	none	pix	none	none	0
vntill	vntill	p-acp	until	until	0
the	the	dt	the	the	0
ovvners	ovvners	ng1	owners	owners	0
death	death	n1	death	death	0
?	?	?	?	?	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
vvere	vvere	vbdr	were	be	0
not	not	xx	not	not	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
workes	workes	n2	works	work	0
of	of	pp-f	of	of	0
learned	learned	j	learned	learned	0
men	men	n2	men	man	0
,	,	,	,	,	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
published	published	vvn	published	publish	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
auctors	auctors	n2	actors	actor	0
death	death	n1	death	death	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
with	with	p-acp	with	with	0
children	children	n2	children	child	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
borne	borne	vvn	born	bear	0
after	after	p-acp	after	after	0
their	their	po32	their	their	0
fathers	fathers	ng1	father's	father	0
death	death	n1	death	death	0
(	(	(	(	(	0
)	)	)	)	)	0
or	or	cc	or	or	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
since	since	p-acp	since	since	0
falshood	falshood	n1	falsehood	falsehood	0
now	now	av	now	now	0
hath	hath	vhz	hath	have	0
gotten	gotten	vvn	got	get	0
so	so	av	so	so	0
strong	strong	j	strong	strong	0
a	a	dt	a	a	0
heade	heade	n1	head	head	0
,	,	,	,	,	0
the	the	dt	the	the	0
shamefast	shamefast	j	shamefast	shamefast	0
modesty	modesty	n1	modesty	modesty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
learned	learned	j	learned	learned	0
vvere	vvere	vbdr	were	be	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
contente	contente	j	content	content	0
to	to	pc-acp	to	to	0
scken	scken	vvi	scken	scken	0
her	her	po31	her	her	0
bridle	bridle	n1	bridle	bridle	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
suffer	suffer	vvi	suffer	suffer	0
zeale	zeale	n1	zeal	zeal	0
to	to	pc-acp	to	to	0
vse	vse	vvi	use	use	0
the	the	dt	the	the	0
spurre	spurre	n1	spur	spur	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
shamefastnesse	shamefastnesse	n1	shamefastness	shamefastness	0
nor	nor	ccx	nor	nor	0
her	her	po31	her	her	0
daughter	daughter	n1	daughter	daughter	0
silence	silence	n1	silence	silence	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
nowe	nowe	av	now	now	0
have	have	vhb	have	have	0
neede	neede	n1	need	need	0
.	.	.	.	.	1
Both	Both	av-d	Both	both	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
excuses	excuses	n2	excuses	excuse	0
for	for	p-acp	for	for	0
me	me	pno11	me	i	0
diocrity	diocrity	n1	diocrity	diocrity	0
,	,	,	,	,	0
so	so	av	so	so	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
iudices	iudices	n2	judices	judice	0
against	against	p-acp	against	against	0
excellency	excellency	n1	excellency	excellency	0
:	:	:	:	:	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
way	way	vvi	weigh	weigh	0
the	the	dt	the	the	0
wisedome	wisedome	n1	wisdom	wisdom	0
of	of	pp-f	of	of	0
fools	fools	n2	fools	fool	0
,	,	,	,	,	0
so	so	av	so	so	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
times	times	n2	times	time	0
as	as	c-acp	as	as	0
these	these	d	these	these	0
are	are	vbr	are	be	0
,	,	,	,	,	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
folly	folly	n1	folly	folly	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
wise	wise	j	wise	wise	0
.	.	.	.	.	1
Neither	Neither	av-d	Neither	neither	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
much	much	av-d	much	much	0
more	more	av-dc	more	more	0
excusable	excusable	j	excusable	excusable	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
times	times	n2	times	time	0
of	of	pp-f	of	of	0
nede	nede	n1	need	need	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
learned	learned	j	learned	learned	0
to	to	pc-acp	to	to	0
hide	hide	vvi	hide	hide	0
themselues	themselues	px32	themselves	themselves	0
with	with	p-acp	with	with	0
Achilles	Achilles	np1	Achilles	Achilles	0
,	,	,	,	,	0
then	then	av	then	then	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
vn	vn	zz	vn	vn	0
∣	∣	sy	∣	∣	0
learned	learned	vvn	learned	learn	0
to	to	pc-acp	to	to	0
thst	thst	vvd2	thst	thst	0
themselues	themselues	px32	themselves	themselves	0
forward	forward	j	forward	forward	0
with	with	p-acp	with	with	0
Thersites	Thersites	np1	Thersites	Thersites	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
much	much	d	much	much	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
one	one	crd	one	one	0
kinde	kinde	n1	kind	kind	0
over	over	p-acp	over	over	0
∣	∣	sy	∣	∣	0
shooes	shooes	n2	shoes	shoe	0
by	by	p-acp	by	by	0
boldnes	boldnes	n1	boldness	boldness	0
,	,	,	,	,	0
so	so	av	so	so	0
much	much	av-d	much	much	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
fals	fals	vvz	falls	fall	0
short	short	j	short	short	0
by	by	p-acp	by	by	0
fearfulnes	fearfulnes	n1	fearfulness	fearfulness	0
,	,	,	,	,	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
are	are	vbr	are	be	0
much	much	av-d	much	much	0
amisse	amisse	av	amiss	amiss	0
.	.	.	.	.	1
And	And	cc	And	and	0
therfore	therfore	av	therefore	therefore	0
Xenophō	Xenophō	np1	Xenophō	Xenophō	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
third	third	ord	third	three	0
booke	booke	n1	book	book	0
of	of	pp-f	of	of	0
Memorables	Memorables	np1	Memorables	Memorables	0
,	,	,	,	,	0
makes	makes	vvz	makes	make	0
Socrater	Socrater	n1	Socrater	socrater	0
to	to	p-acp	to	to	0
ke	ke	wd	ke	ke	0
no	no	dx	no	no	0
lesse	lesse	dc	less	less	0
care	care	n1	care	care	0
to	to	pc-acp	to	to	0
disswade	disswade	vvi	dissuade	dissuade	0
Charmides	Charmides	np1	Charmides	Charmides	0
,	,	,	,	,	0
the	the	dt	the	the	0
vncle	vncle	n1	uncle	uncle	0
of	of	pp-f	of	of	0
Plato	Plato	np1	Plato	Plato	0
the	the	dt	the	the	0
Philosopher	Philosopher	n1	Philosopher	philosopher	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
refraining	refraining	vvg	refraining	refrain	0
himselfe	himselfe	px31	himself	himself	0
,	,	,	,	,	0
then	then	cs	then	than	0
to	to	pc-acp	to	to	0
disswade	disswade	vvi	dissuade	dissuade	0
Glau	Glau	np1	Glau	Glau	0
∣	∣	sy	∣	∣	0
co	co	n1	counterfeit	counterfeit	0
,	,	,	,	,	0
the	the	dt	the	the	0
brother	brother	n1	brother	brother	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
same	same	d	same	same	0
Plato	Plato	np1	Plato	Plato	0
,	,	,	,	,	0
frō	frō	p-acp	from	from	0
thru	thru	n1	thrum	thrum	0
