OH	OH	uh	O	oh	0
Peace	Peace	n1	Peace	peace	0
too	too	av	too	too	0
;	;	;	;	;	0
If	If	cs	If	if	0
you	you	pn22	you	you	0
love	love	vvb	love	love	0
your	your	po22	your	your	0
safety	safety	n1	safety	safety	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Churches	Churches	n2	Churches	church	0
,	,	,	,	,	0
seeke	seeke	vvb	seek	seek	0
rather	rather	av	rather	rather	0
grounds	grounds	n2	grounds	ground	0
whereon	whereon	c-crq	whereon	whereon	0
to	to	pc-acp	to	to	0
rest	rest	vvi	rest	rest	0
,	,	,	,	,	0
then	then	cs	then	than	0
excuses	excuses	n2	excuses	excuse	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
abode	abode	n1	abided	abode	0
in	in	p-acp	in	in	0
trouble	trouble	n1	trouble	trouble	0
,	,	,	,	,	0
seeke	seeke	vvb	seek	seek	0
Peace	Peace	n1	Peace	peace	0
and	and	cc	and	and	0
follow	follow	vvi	follow	follow	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
forsake	forsake	vvb	forsake	forsake	0
Rome	Rome	n1	Room	room	0
,	,	,	,	,	0
and	and	cc	and	and	0
follow	follow	vvi	follow	follow	0
CHRIST	CHRIST	np1	CHRIST	Christ	0
:	:	:	:	:	0
except	except	c-acp	except	except	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
rather	rather	av-c	rather	rather	0
abide	abide	vvi	abide	abide	0
in	in	p-acp	in	in	0
earthly	earthly	j	earthly	earthly	0
pompe	pompe	n1	pomp	pomp	0
then	then	av	then	then	0
come	come	vvn	come	come	0
to	to	p-acp	to	to	0
Christ	Christ	np1	Christ	Christ	0
.	.	.	.	.	1
